chr	start	end	name	score	strand	annotation	gene	external_gene_name	grouped_annotation
chr10	3048120	3048121	CITS_1[gene=chr10_f_c602][PH=3][PH0=0.00][P=8.70e-08]	3	+	Proximal intronic	ENSG00000308946.1	""	Genic
chr10	3335169	3335170	CITS_2[gene=chr10_f_c692][PH=6][PH0=0.15][P=7.12e-06]	6	+	First intron	ENSG00000286610.2	""	Genic
chr10	3359080	3359081	CITS_3[gene=chr10_f_c820][PH=6][PH0=0.29][P=1.75e-04]	6	+	Satellite/LC	ENSG00000286610.2	""	TE
chr10	3380209	3380210	CITS_4[gene=chr10_f_c927][PH=5][PH0=0.23][P=1.29e-03]	5	+	First intron	ENSG00000286610.2	""	Genic
chr10	3382702	3382703	CITS_5[gene=chr10_f_c943][PH=5][PH0=0.30][P=3.08e-03]	5	+	LINE	ENSG00000286610.2	""	TE
chr10	3403726	3403727	CITS_6[gene=chr10_f_c1066][PH=5][PH0=0.30][P=4.49e-03]	5	+	First intron	ENSG00000286610.2	""	Genic
chr10	3436305	3436306	CITS_7[gene=chr10_f_c1207][PH=4][PH0=0.15][P=2.56e-03]	4	+	Deep intronic	ENSG00000286610.2	""	Genic
chr10	3447927	3447928	CITS_8[gene=chr10_f_c1261][PH=8][PH0=0.28][P=5.80e-07]	8	+	LINE	ENSG00000286610.2	""	TE
chr10	3449929	3449930	CITS_9[gene=chr10_f_c1282][PH=4][PH0=0.09][P=6.13e-04]	4	+	LINE	ENSG00000286610.2	""	TE
chr10	3471027	3471028	CITS_10[gene=chr10_f_c1397][PH=4][PH0=0.20][P=8.61e-03]	4	+	Deep intronic	ENSG00000286610.2	""	Genic
chr10	3489955	3489956	CITS_11[gene=chr10_f_c1489][PH=5][PH0=0.14][P=1.37e-04]	5	+	Deep intronic			Genic
chr10	3490212	3490213	CITS_12[gene=chr10_f_c1491][PH=7][PH0=0.27][P=5.80e-06]	7	+	Deep intronic			Genic
chr10	3576268	3576269	CITS_13[gene=chr10_f_c1884][PH=6][PH0=0.21][P=3.19e-05]	6	+	Deep intronic			Genic
chr10	3613337	3613338	CITS_14[gene=chr10_f_c1987][PH=3][PH0=0.01][P=6.13e-03]	3	+	Satellite/LC			TE
chr10	3625500	3625501	CITS_15[gene=chr10_f_c1987][PH=3][PH0=0.01][P=6.13e-03]	3	+	Deep intronic			Genic
chr10	3629889	3629890	CITS_16[gene=chr10_f_c1987][PH=3][PH0=0.01][P=6.13e-03]	3	+	LINE			TE
chr10	5457136	5457137	CITS_17[gene=chr10_f_c2565][PH=23][PH0=0.88][P=1.00e-100]	23	+	3'UTR	ENSG00000173848.20		Genic
chr10	5700280	5700281	CITS_18[gene=chr10_f_c2642][PH=3][PH0=0.00][P=6.66e-04]	3	+	LINE	ENSG00000108021.23		TE
chr10	5763461	5763462	CITS_19[gene=chr10_f_c2642][PH=3][PH0=0.00][P=6.66e-04]	3	+	3'UTR	ENSG00000108021.23		Genic
chr10	6115951	6115952	CITS_20[gene=chr10_f_c2747][PH=3][PH0=0.00][P=1.75e-05]	3	+	3'UTR	ENSG00000134453.17		Genic
chr10	6691857	6691858	CITS_21[gene=chr10_f_c2859][PH=2][PH0=0.00][P=1.77e-03]	2	+	LINE	ENSG00000223784.3	LINP1	TE
chr10	11221944	11221945	CITS_22[gene=chr10_f_c3626][PH=7][PH0=0.45][P=5.94e-05]	7	+	Deep intronic	ENSG00000048740.20		Genic
chr10	13532851	13532852	CITS_23[gene=chr10_f_c3812][PH=4][PH0=0.00][P=5.18e-10]	4	+	Deep intronic			Genic
chr10	13871427	13871428	CITS_24[gene=chr10_f_c3998][PH=11][PH0=0.00][P=1.00e-100]	11	+	Deep intronic			Genic
chr10	16507850	16507851	CITS_25[gene=chr10_f_c4346][PH=4][PH0=0.12][P=2.20e-03]	4	+	Satellite/LC	ENSG00000165983.16		TE
chr10	16723196	16723197	CITS_26[gene=chr10_f_c4432][PH=2][PH0=0.00][P=6.55e-03]	2	+	Deep intronic			Genic
chr10	17237537	17237538	CITS_27[gene=chr10_f_c4490][PH=16][PH0=0.41][P=1.00e-100]	16	+	3'UTR	ENSG00000026025.17		Genic
chr10	18675396	18675397	CITS_28[gene=chr10_f_c4981][PH=8][PH0=0.39][P=5.58e-06]	8	+	3'UTR	ENSG00000165997.6		Genic
chr10	19053629	19053630	CITS_29[gene=chr10_f_c5072][PH=7][PH0=0.34][P=1.53e-05]	7	+	First intron	ENSG00000204740.11	MALRD1	Genic
chr10	20144224	20144225	CITS_30[gene=chr10_f_c5239][PH=5][PH0=0.42][P=6.03e-03]	5	+	Deep intronic	ENSG00000120594.18		Genic
chr10	20949083	20949084	CITS_31[gene=chr10_f_c5295][PH=2][PH0=0.00][P=5.46e-03]	2	+	Deep intronic			Genic
chr10	21481781	21481782	CITS_32[gene=chr10_f_c5340][PH=10][PH0=0.64][P=6.72e-07]	10	+	Other exon	ENSG00000199222.1	Y_RNA	Genic
chr10	21598126	21598127	CITS_33[gene=chr10_f_c5363][PH=3][PH0=0.00][P=9.57e-03]	3	+	LINE	ENSG00000078403.18		TE
chr10	21619074	21619075	CITS_34[gene=chr10_f_c5363][PH=3][PH0=0.00][P=9.57e-03]	3	+	Deep intronic	ENSG00000078403.18		Genic
chr10	21667196	21667197	CITS_35[gene=chr10_f_c5363][PH=3][PH0=0.00][P=9.57e-03]	3	+	LINE	ENSG00000078403.18		TE
chr10	21682473	21682474	CITS_36[gene=chr10_f_c5363][PH=3][PH0=0.00][P=9.57e-03]	3	+	Proximal intronic	ENSG00000078403.18		Genic
chr10	21682667	21682668	CITS_37[gene=chr10_f_c5363][PH=3][PH0=0.00][P=9.57e-03]	3	+	Deep intronic	ENSG00000078403.18		Genic
chr10	21682708	21682709	CITS_38[gene=chr10_f_c5363][PH=4][PH0=0.00][P=1.42e-05]	4	+	Deep intronic	ENSG00000078403.18		Genic
chr10	21710983	21710984	CITS_39[gene=chr10_f_c5363][PH=3][PH0=0.00][P=9.57e-03]	3	+	LINE	ENSG00000078403.18		TE
chr10	21715033	21715034	CITS_40[gene=chr10_f_c5363][PH=3][PH0=0.00][P=9.57e-03]	3	+	Deep intronic	ENSG00000078403.18		Genic
chr10	21726705	21726706	CITS_41[gene=chr10_f_c5363][PH=3][PH0=0.00][P=9.57e-03]	3	+	Satellite/LC	ENSG00000078403.18		TE
chr10	21729341	21729342	CITS_42[gene=chr10_f_c5363][PH=4][PH0=0.00][P=1.42e-05]	4	+	Deep intronic	ENSG00000078403.18		Genic
chr10	21729405	21729406	CITS_43[gene=chr10_f_c5363][PH=3][PH0=0.00][P=9.57e-03]	3	+	Deep intronic	ENSG00000078403.18		Genic
chr10	23451187	23451188	CITS_44[gene=chr10_f_c5581][PH=12][PH0=0.45][P=3.33e-11]	12	+	3'UTR-distal	ENSG00000287124.3	""	Genic
chr10	24540100	24540101	CITS_45[gene=chr10_f_c5987][PH=3][PH0=0.00][P=1.15e-04]	3	+	Deep intronic	ENSG00000120549.20		Genic
chr10	24547134	24547135	CITS_46[gene=chr10_f_c5987][PH=3][PH0=0.00][P=1.15e-04]	3	+	3'UTR	ENSG00000120549.20		Genic
chr10	27541654	27541655	CITS_47[gene=chr10_f_c6428][PH=3][PH0=0.00][P=4.48e-04]	3	+	3'UTR	ENSG00000099246.20		Genic
chr10	27910969	27910970	CITS_48[gene=chr10_f_c6465][PH=2][PH0=0.00][P=2.60e-03]	2	+	Deep intronic			Genic
chr10	28535892	28535893	CITS_49[gene=chr10_f_c6510][PH=4][PH0=0.01][P=3.31e-05]	4	+	Proximal intronic	ENSG00000095787.27		Genic
chr10	28538196	28538197	CITS_50[gene=chr10_f_c6510][PH=6][PH0=0.01][P=1.00e-100]	6	+	Deep intronic	ENSG00000095787.27		Genic
chr10	28540533	28540534	CITS_51[gene=chr10_f_c6510][PH=6][PH0=0.01][P=1.00e-100]	6	+	Deep intronic	ENSG00000095787.27		Genic
chr10	28540610	28540611	CITS_52[gene=chr10_f_c6510][PH=5][PH0=0.01][P=4.29e-08]	5	+	Deep intronic	ENSG00000095787.27		Genic
chr10	28542317	28542318	CITS_53[gene=chr10_f_c6510][PH=5][PH0=0.01][P=4.29e-08]	5	+	LINE	ENSG00000095787.27		TE
chr10	28547143	28547144	CITS_54[gene=chr10_f_c6510][PH=4][PH0=0.01][P=3.31e-05]	4	+	Deep intronic	ENSG00000095787.27		Genic
chr10	28551635	28551636	CITS_55[gene=chr10_f_c6510][PH=4][PH0=0.01][P=3.31e-05]	4	+	Deep intronic	ENSG00000095787.27		Genic
chr10	28553270	28553271	CITS_56[gene=chr10_f_c6510][PH=4][PH0=0.01][P=3.31e-05]	4	+	Deep intronic	ENSG00000095787.27		Genic
chr10	28561449	28561450	CITS_57[gene=chr10_f_c6510][PH=4][PH0=0.01][P=3.31e-05]	4	+	Deep intronic	ENSG00000095787.27		Genic
chr10	28575115	28575116	CITS_58[gene=chr10_f_c6510][PH=4][PH0=0.01][P=3.31e-05]	4	+	LINE	ENSG00000095787.27		TE
chr10	28585556	28585557	CITS_59[gene=chr10_f_c6510][PH=6][PH0=0.01][P=1.00e-100]	6	+	Satellite/LC	ENSG00000095787.27		TE
chr10	28585785	28585786	CITS_60[gene=chr10_f_c6510][PH=8][PH0=0.01][P=1.00e-100]	8	+	Deep intronic	ENSG00000095787.27		Genic
chr10	28608588	28608589	CITS_61[gene=chr10_f_c6510][PH=4][PH0=0.01][P=3.31e-05]	4	+	3'UTR	ENSG00000095787.27		Genic
chr10	28615266	28615267	CITS_62[gene=chr10_f_c6510][PH=4][PH0=0.01][P=3.31e-05]	4	+	Deep intronic	ENSG00000095787.27		Genic
chr10	29360853	29360854	CITS_63[gene=chr10_f_c6574][PH=5][PH0=0.29][P=1.44e-03]	5	+	LTR/ERV			TE
chr10	29457450	29457451	CITS_64[gene=chr10_f_c6713][PH=5][PH0=0.24][P=6.02e-04]	5	+	Deep intronic	ENSG00000291093.2	SVIL-AS1	Genic
chr10	31353689	31353690	CITS_65[gene=chr10_f_c7045][PH=8][PH0=0.71][P=1.21e-04]	8	+	First intron	ENSG00000148516.24		Genic
chr10	34336103	34336104	CITS_66[gene=chr10_f_c7739][PH=2][PH0=0.00][P=2.01e-03]	2	+	Deep intronic			Genic
chr10	34758164	34758165	CITS_67[gene=chr10_f_c7759][PH=2][PH0=0.00][P=1.54e-03]	2	+	Deep intronic			Genic
chr10	36531139	36531140	CITS_68[gene=chr10_f_c8246][PH=2][PH0=0.00][P=2.05e-03]	2	+	Deep intronic			Genic
chr10	42634814	42634815	CITS_69[gene=chr10_f_c8851][PH=5][PH0=0.00][P=1.00e-100]	5	+	LINE			TE
chr10	43636596	43636597	CITS_70[gene=chr10_f_c9021][PH=2][PH0=0.00][P=2.02e-03]	2	+	LINE	ENSG00000228426.2	ZNF32-AS3	TE
chr10	43988839	43988840	CITS_71[gene=chr10_f_c9031][PH=2][PH0=0.00][P=4.77e-03]	2	+	Deep intronic			Genic
chr10	44083637	44083638	CITS_72[gene=chr10_f_c9031][PH=2][PH0=0.00][P=4.77e-03]	2	+	Deep intronic			Genic
chr10	46792427	46792428	CITS_73[gene=chr10_f_c9644][PH=5][PH0=0.18][P=1.66e-04]	5	+	Deep intronic	ENSG00000204177.13	BMS1P1	Genic
chr10	47656494	47656495	CITS_74[gene=chr10_f_c9777][PH=4][PH0=0.00][P=6.42e-08]	4	+	Intergenic			Intergenic
chr10	47663401	47663402	CITS_75[gene=chr10_f_c9777][PH=3][PH0=0.00][P=2.08e-04]	3	+	Alu			TE
chr10	47669406	47669407	CITS_76[gene=chr10_f_c9777][PH=3][PH0=0.00][P=2.08e-04]	3	+	LINE			TE
chr10	47712039	47712040	CITS_77[gene=chr10_f_c9777][PH=8][PH0=0.00][P=1.00e-100]	8	+	Deep intronic	ENSG00000189014.7	SHLD2P3	Genic
chr10	47714476	47714477	CITS_78[gene=chr10_f_c9777][PH=4][PH0=0.00][P=6.42e-08]	4	+	Deep intronic	ENSG00000189014.7	SHLD2P3	Genic
chr10	47734509	47734510	CITS_79[gene=chr10_f_c9777][PH=3][PH0=0.00][P=2.08e-04]	3	+	Deep intronic			Genic
chr10	48329004	48329005	CITS_80[gene=chr10_f_c9788][PH=3][PH0=0.00][P=4.66e-04]	3	+	First intron	ENSG00000107643.18		Genic
chr10	48435172	48435173	CITS_81[gene=chr10_f_c10028][PH=10][PH0=0.28][P=6.01e-10]	10	+	3'UTR	ENSG00000107643.18		Genic
chr10	48436281	48436282	CITS_82[gene=chr10_f_c10038][PH=10][PH0=0.46][P=3.46e-08]	10	+	3'UTR	ENSG00000107643.18		Genic
chr10	49976872	49976873	CITS_83[gene=chr10_f_c10174][PH=3][PH0=0.00][P=9.13e-05]	3	+	3'UTR	ENSG00000178440.9	TIMM23B-AGAP6	Genic
chr10	49980450	49980451	CITS_84[gene=chr10_f_c10174][PH=7][PH0=0.00][P=1.00e-100]	7	+	3'UTR-distal	ENSG00000178440.9	TIMM23B-AGAP6	Genic
chr10	54440613	54440614	CITS_85[gene=chr10_f_c10900][PH=2][PH0=0.00][P=4.63e-03]	2	+	Deep intronic			Genic
chr10	55075985	55075986	CITS_86[gene=chr10_f_c10976][PH=5][PH0=0.21][P=3.47e-04]	5	+	LINE			TE
chr10	55644044	55644045	CITS_87[gene=chr10_f_c11046][PH=2][PH0=0.00][P=7.43e-03]	2	+	Intergenic			Intergenic
chr10	55871969	55871970	CITS_88[gene=chr10_f_c11055][PH=8][PH0=0.42][P=4.15e-06]	8	+	Deep intronic			Genic
chr10	57176668	57176669	CITS_89[gene=chr10_f_c11215][PH=3][PH0=0.00][P=4.29e-08]	3	+	LTR/ERV			TE
chr10	57183039	57183040	CITS_90[gene=chr10_f_c11215][PH=2][PH0=0.00][P=1.01e-03]	2	+	LINE			TE
chr10	57380179	57380180	CITS_91[gene=chr10_f_c11219][PH=3][PH0=0.00][P=3.88e-07]	3	+	LINE			TE
chr10	58399487	58399488	CITS_92[gene=chr10_f_c11528][PH=5][PH0=0.16][P=1.26e-04]	5	+	3'UTR-distal			Genic
chr10	58516069	58516070	CITS_93[gene=chr10_f_c11564][PH=4][PH0=0.15][P=2.34e-03]	4	+	First intron	ENSG00000122870.12	BICC1	Genic
chr10	58829159	58829160	CITS_94[gene=chr10_f_c12226][PH=3][PH0=0.00][P=4.81e-05]	3	+	3'UTR	ENSG00000122870.12	BICC1	Genic
chr10	58829212	58829213	CITS_95[gene=chr10_f_c12226][PH=3][PH0=0.00][P=4.81e-05]	3	+	3'UTR	ENSG00000122870.12	BICC1	Genic
chr10	58829817	58829818	CITS_96[gene=chr10_f_c12226][PH=3][PH0=0.00][P=4.81e-05]	3	+	3'UTR	ENSG00000122870.12	BICC1	Genic
chr10	58831324	58831325	CITS_97[gene=chr10_f_c12226][PH=3][PH0=0.00][P=4.81e-05]	3	+	3'UTR	ENSG00000122870.12	BICC1	Genic
chr10	61514815	61514816	CITS_98[gene=chr10_f_c12770][PH=2][PH0=0.00][P=3.18e-03]	2	+	LINE			TE
chr10	63621020	63621021	CITS_99[gene=chr10_f_c13314][PH=3][PH0=0.00][P=9.31e-05]	3	+	3'UTR	ENSG00000165476.15		Genic
chr10	63621482	63621483	CITS_100[gene=chr10_f_c13314][PH=3][PH0=0.00][P=9.31e-05]	3	+	3'UTR	ENSG00000165476.15		Genic
chr10	63621515	63621516	CITS_101[gene=chr10_f_c13314][PH=10][PH0=0.00][P=1.00e-100]	10	+	3'UTR	ENSG00000165476.15		Genic
chr10	63622113	63622114	CITS_102[gene=chr10_f_c13314][PH=3][PH0=0.00][P=9.31e-05]	3	+	3'UTR	ENSG00000165476.15		Genic
chr10	63623545	63623546	CITS_103[gene=chr10_f_c13314][PH=4][PH0=0.00][P=2.88e-08]	4	+	3'UTR	ENSG00000165476.15		Genic
chr10	63623894	63623895	CITS_104[gene=chr10_f_c13314][PH=3][PH0=0.00][P=9.31e-05]	3	+	3'UTR	ENSG00000165476.15		Genic
chr10	63623990	63623991	CITS_105[gene=chr10_f_c13314][PH=6][PH0=0.00][P=1.00e-100]	6	+	3'UTR	ENSG00000165476.15		Genic
chr10	63624376	63624377	CITS_106[gene=chr10_f_c13314][PH=4][PH0=0.00][P=2.88e-08]	4	+	3'UTR	ENSG00000165476.15		Genic
chr10	63910524	63910525	CITS_107[gene=chr10_f_c13316][PH=2][PH0=0.00][P=1.15e-03]	2	+	LTR/ERV	ENSG00000228566.3	""	TE
chr10	65060418	65060419	CITS_108[gene=chr10_f_c13452][PH=2][PH0=0.00][P=6.61e-03]	2	+	LINE			TE
chr10	65288091	65288092	CITS_109[gene=chr10_f_c13459][PH=2][PH0=0.00][P=4.18e-03]	2	+	LINE	ENSG00000235356.2	""	TE
chr10	65289804	65289805	CITS_110[gene=chr10_f_c13459][PH=3][PH0=0.00][P=4.40e-07]	3	+	LINE	ENSG00000235356.2	""	TE
chr10	65625675	65625676	CITS_111[gene=chr10_f_c13588][PH=4][PH0=0.14][P=1.43e-03]	4	+	Deep intronic	ENSG00000228065.14	LINC01515	Genic
chr10	65658782	65658783	CITS_112[gene=chr10_f_c13672][PH=3][PH0=0.00][P=1.02e-03]	3	+	Deep intronic	ENSG00000228065.14	LINC01515	Genic
chr10	66507681	66507682	CITS_113[gene=chr10_f_c13820][PH=2][PH0=0.00][P=6.68e-03]	2	+	LINE			TE
chr10	68333135	68333136	CITS_114[gene=chr10_f_c13967][PH=4][PH0=0.00][P=1.56e-07]	4	+	5'UTR	ENSG00000096746.19		Genic
chr10	68333197	68333198	CITS_115[gene=chr10_f_c13967][PH=3][PH0=0.00][P=3.11e-04]	3	+	5'UTR	ENSG00000096746.19		Genic
chr10	68333353	68333354	CITS_116[gene=chr10_f_c13967][PH=4][PH0=0.00][P=1.56e-07]	4	+	5'UTR	ENSG00000096746.19		Genic
chr10	68337329	68337330	CITS_117[gene=chr10_f_c13967][PH=3][PH0=0.00][P=3.11e-04]	3	+	CDS	ENSG00000096746.19		Genic
chr10	68337709	68337710	CITS_118[gene=chr10_f_c13967][PH=4][PH0=0.00][P=1.56e-07]	4	+	First intron	ENSG00000096746.19		Genic
chr10	68337853	68337854	CITS_119[gene=chr10_f_c13967][PH=3][PH0=0.00][P=3.11e-04]	3	+	First intron	ENSG00000096746.19		Genic
chr10	68341924	68341925	CITS_120[gene=chr10_f_c13967][PH=3][PH0=0.00][P=3.11e-04]	3	+	Proximal intronic	ENSG00000096746.19		Genic
chr10	68342167	68342168	CITS_121[gene=chr10_f_c13967][PH=3][PH0=0.00][P=3.11e-04]	3	+	3'UTR	ENSG00000096746.19		Genic
chr10	68342584	68342585	CITS_122[gene=chr10_f_c13967][PH=3][PH0=0.00][P=3.11e-04]	3	+	3'UTR	ENSG00000096746.19		Genic
chr10	68749858	68749859	CITS_123[gene=chr10_f_c14020][PH=5][PH0=0.00][P=3.99e-10]	5	+	Proximal intronic	ENSG00000060339.15		Genic
chr10	68752545	68752546	CITS_124[gene=chr10_f_c14020][PH=15][PH0=0.00][P=1.00e-100]	15	+	Deep intronic	ENSG00000060339.15		Genic
chr10	68755185	68755186	CITS_125[gene=chr10_f_c14020][PH=10][PH0=0.00][P=1.00e-100]	10	+	Proximal intronic	ENSG00000060339.15		Genic
chr10	68756148	68756149	CITS_126[gene=chr10_f_c14020][PH=3][PH0=0.00][P=9.97e-04]	3	+	Deep intronic	ENSG00000060339.15		Genic
chr10	68776265	68776266	CITS_127[gene=chr10_f_c14020][PH=4][PH0=0.00][P=5.69e-07]	4	+	Satellite/LC	ENSG00000060339.15		TE
chr10	68849454	68849455	CITS_128[gene=chr10_f_c14020][PH=3][PH0=0.00][P=9.97e-04]	3	+	First intron	ENSG00000165730.17		Genic
chr10	68972092	68972093	CITS_129[gene=chr10_f_c14020][PH=8][PH0=0.00][P=1.00e-100]	8	+	Deep intronic	ENSG00000165732.15		Genic
chr10	69187666	69187667	CITS_130[gene=chr10_f_c14113][PH=4][PH0=0.15][P=1.94e-03]	4	+	CDS	ENSG00000156502.15		Genic
chr10	70164208	70164209	CITS_131[gene=chr10_f_c14206][PH=3][PH0=0.00][P=2.91e-04]	3	+	Deep intronic			Genic
chr10	70164637	70164638	CITS_132[gene=chr10_f_c14206][PH=6][PH0=0.00][P=1.00e-100]	6	+	Deep intronic			Genic
chr10	70351846	70351847	CITS_133[gene=chr10_f_c14206][PH=7][PH0=0.00][P=1.00e-100]	7	+	Deep intronic			Genic
chr10	70351930	70351931	CITS_134[gene=chr10_f_c14206][PH=3][PH0=0.00][P=2.91e-04]	3	+	Deep intronic			Genic
chr10	70352231	70352232	CITS_135[gene=chr10_f_c14206][PH=43][PH0=0.00][P=1.00e-100]	43	+	Deep intronic			Genic
chr10	70422055	70422056	CITS_136[gene=chr10_f_c14241][PH=5][PH0=0.21][P=1.21e-03]	5	+	3'UTR	ENSG00000148730.8		Genic
chr10	70817633	70817634	CITS_137[gene=chr10_f_c14293][PH=14][PH0=0.00][P=1.00e-100]	14	+	First intron	ENSG00000166224.19	SGPL1	Genic
chr10	71989929	71989930	CITS_138[gene=chr10_f_c14451][PH=3][PH0=0.07][P=6.83e-03]	3	+	LINE	ENSG00000122863.7		TE
chr10	72735160	72735161	CITS_139[gene=chr10_f_c14567][PH=3][PH0=0.00][P=5.07e-04]	3	+	LINE	ENSG00000156026.16		TE
chr10	72767184	72767185	CITS_140[gene=chr10_f_c14567][PH=5][PH0=0.00][P=1.00e-100]	5	+	First intron	ENSG00000156026.16		Genic
chr10	72767885	72767886	CITS_141[gene=chr10_f_c14567][PH=3][PH0=0.00][P=5.07e-04]	3	+	First intron	ENSG00000156026.16		Genic
chr10	74070030	74070031	CITS_142[gene=chr10_f_c14872][PH=3][PH0=0.00][P=2.25e-03]	3	+	Deep intronic	ENSG00000035403.19		Genic
chr10	74304253	74304254	CITS_143[gene=chr10_f_c14872][PH=3][PH0=0.00][P=2.25e-03]	3	+	Deep intronic	ENSG00000156110.16		Genic
chr10	74319767	74319768	CITS_144[gene=chr10_f_c14872][PH=3][PH0=0.00][P=2.25e-03]	3	+	LINE	ENSG00000156110.16		TE
chr10	74534404	74534405	CITS_145[gene=chr10_f_c15234][PH=3][PH0=0.00][P=9.90e-04]	3	+	Deep intronic	ENSG00000156110.16		Genic
chr10	75525606	75525607	CITS_146[gene=chr10_f_c16224][PH=6][PH0=0.21][P=4.34e-05]	6	+	Satellite/LC	ENSG00000148655.16	LRMDA	TE
chr10	75710354	75710355	CITS_147[gene=chr10_f_c16856][PH=5][PH0=0.21][P=3.96e-04]	5	+	Deep intronic	ENSG00000148655.16	LRMDA	Genic
chr10	75812170	75812171	CITS_148[gene=chr10_f_c17154][PH=3][PH0=0.05][P=3.46e-03]	3	+	First intron	ENSG00000148655.16	LRMDA	Genic
chr10	79071847	79071848	CITS_149[gene=chr10_f_c18192][PH=2][PH0=0.00][P=5.10e-03]	2	+	First intron	ENSG00000108175.20		Genic
chr10	79678114	79678115	CITS_151[gene=chr10_f_c18330][PH=5][PH0=0.29][P=2.71e-03]	5	+	Deep intronic			Genic
chr10	80690872	80690873	CITS_152[gene=chr10_f_c18460][PH=4][PH0=0.00][P=1.00e-100]	4	+	LTR/ERV			TE
chr10	81977444	81977445	CITS_153[gene=chr10_f_c18879][PH=4][PH0=0.15][P=2.15e-03]	4	+	First intron	ENSG00000185737.13	NRG3	Genic
chr10	81982016	81982017	CITS_154[gene=chr10_f_c18895][PH=4][PH0=0.16][P=4.39e-03]	4	+	LTR/ERV	ENSG00000185737.13	NRG3	TE
chr10	82008005	82008006	CITS_155[gene=chr10_f_c19000][PH=4][PH0=0.15][P=2.96e-03]	4	+	LINE	ENSG00000185737.13	NRG3	TE
chr10	82480244	82480245	CITS_156[gene=chr10_f_c20076][PH=4][PH0=0.10][P=9.03e-04]	4	+	LINE	ENSG00000185737.13	NRG3	TE
chr10	84152711	84152712	CITS_157[gene=chr10_f_c20621][PH=4][PH0=0.12][P=9.97e-04]	4	+	3'UTR	ENSG00000165678.23		Genic
chr10	84379471	84379472	CITS_158[gene=chr10_f_c20642][PH=4][PH0=0.00][P=2.19e-06]	4	+	LINE	ENSG00000107771.18		TE
chr10	84393675	84393676	CITS_159[gene=chr10_f_c20642][PH=3][PH0=0.00][P=2.40e-03]	3	+	Deep intronic	ENSG00000107771.18		Genic
chr10	84429460	84429461	CITS_160[gene=chr10_f_c20642][PH=4][PH0=0.00][P=2.19e-06]	4	+	LINE	ENSG00000107771.18		TE
chr10	84434792	84434793	CITS_161[gene=chr10_f_c20642][PH=3][PH0=0.00][P=2.40e-03]	3	+	Other SINE	ENSG00000107771.18		TE
chr10	84500647	84500648	CITS_162[gene=chr10_f_c20642][PH=3][PH0=0.00][P=2.40e-03]	3	+	Deep intronic	ENSG00000107771.18		Genic
chr10	86425556	86425557	CITS_163[gene=chr10_f_c20793][PH=3][PH0=0.00][P=1.42e-07]	3	+	LINE			TE
chr10	86487048	86487049	CITS_164[gene=chr10_f_c20796][PH=9][PH0=0.71][P=1.09e-05]	9	+	LINE			TE
chr10	86610995	86610996	CITS_165[gene=chr10_f_c20811][PH=7][PH0=0.61][P=5.71e-04]	7	+	Alu			TE
chr10	87117890	87117891	CITS_166[gene=chr10_f_c21462][PH=4][PH0=0.15][P=3.94e-03]	4	+	First intron	ENSG00000122376.13		Genic
chr10	87124760	87124761	CITS_167[gene=chr10_f_c21493][PH=3][PH0=0.06][P=5.98e-03]	3	+	Alu	ENSG00000122376.13		TE
chr10	87172292	87172293	CITS_168[gene=chr10_f_c21636][PH=8][PH0=0.30][P=4.06e-07]	8	+	Deep intronic	ENSG00000122376.13		Genic
chr10	87450057	87450058	CITS_169[gene=chr10_f_c21792][PH=4][PH0=0.01][P=2.03e-05]	4	+	Satellite/LC	ENSG00000305816.1	""	TE
chr10	87475011	87475012	CITS_170[gene=chr10_f_c21792][PH=4][PH0=0.01][P=2.03e-05]	4	+	First intron	ENSG00000305816.1	""	Genic
chr10	87481334	87481335	CITS_171[gene=chr10_f_c21792][PH=5][PH0=0.01][P=2.87e-08]	5	+	First intron	ENSG00000305816.1	""	Genic
chr10	87871343	87871344	CITS_172[gene=chr10_f_c22010][PH=4][PH0=0.15][P=6.32e-03]	4	+	First intron	ENSG00000171862.16	PTEN	Genic
chr10	87874461	87874462	CITS_173[gene=chr10_f_c22040][PH=9][PH0=0.49][P=8.50e-07]	9	+	First intron	ENSG00000171862.16	PTEN	Genic
chr10	87875052	87875053	CITS_174[gene=chr10_f_c22047][PH=12][PH0=0.62][P=4.55e-09]	12	+	First intron	ENSG00000171862.16	PTEN	Genic
chr10	87875531	87875532	CITS_175[gene=chr10_f_c22054][PH=4][PH0=0.12][P=1.11e-03]	4	+	First intron	ENSG00000171862.16	PTEN	Genic
