chr	start	end	name	score	strand	annotation	gene	external_gene_name	grouped_annotation
chr10	993802	993803	CITS_1[gene=chr10_f_c12][PH=3][PH0=0.00][P=4.65e-04]	3	+	First intron	ENSG00000107937.20		Genic
chr10	1005692	1005693	CITS_3[gene=chr10_f_c12][PH=3][PH0=0.00][P=4.65e-04]	3	+	Deep intronic	ENSG00000107937.20		Genic
chr10	2196002	2196003	CITS_4[gene=chr10_f_c39][PH=7][PH0=0.00][P=1.00e-100]	7	+	Satellite/LC			TE
chr10	2586557	2586558	CITS_5[gene=chr10_f_c39][PH=4][PH0=0.00][P=1.51e-09]	4	+	Deep intronic	ENSG00000235281.3	""	Genic
chr10	5702655	5702656	CITS_6[gene=chr10_f_c211][PH=4][PH0=0.00][P=1.26e-06]	4	+	Satellite/LC	ENSG00000108021.23		TE
chr10	5718989	5718990	CITS_7[gene=chr10_f_c211][PH=3][PH0=0.00][P=2.56e-03]	3	+	First intron	ENSG00000108021.23		Genic
chr10	5760804	5760805	CITS_8[gene=chr10_f_c211][PH=4][PH0=0.00][P=1.26e-06]	4	+	Deep intronic	ENSG00000108021.23		Genic
chr10	5899929	5899930	CITS_9[gene=chr10_f_c211][PH=3][PH0=0.00][P=2.56e-03]	3	+	First intron	ENSG00000134452.21		Genic
chr10	5901732	5901733	CITS_10[gene=chr10_f_c211][PH=3][PH0=0.00][P=2.56e-03]	3	+	Alu	ENSG00000134452.21		TE
chr10	5903495	5903496	CITS_11[gene=chr10_f_c211][PH=5][PH0=0.00][P=1.00e-100]	5	+	Alu	ENSG00000134452.21		TE
chr10	6165372	6165373	CITS_12[gene=chr10_f_c211][PH=5][PH0=0.00][P=1.00e-100]	5	+	LTR/ERV	ENSG00000170525.22		TE
chr10	6184363	6184364	CITS_13[gene=chr10_f_c211][PH=3][PH0=0.00][P=2.56e-03]	3	+	First intron	ENSG00000170525.22		Genic
chr10	6189691	6189692	CITS_14[gene=chr10_f_c211][PH=3][PH0=0.00][P=2.56e-03]	3	+	Alu	ENSG00000170525.22		TE
chr10	6218608	6218609	CITS_15[gene=chr10_f_c211][PH=3][PH0=0.00][P=2.56e-03]	3	+	Alu	ENSG00000170525.22		TE
chr10	6714351	6714352	CITS_16[gene=chr10_f_c211][PH=3][PH0=0.00][P=2.56e-03]	3	+	Alu	ENSG00000223784.3	LINP1	TE
chr10	7804957	7804958	CITS_17[gene=chr10_f_c215][PH=3][PH0=0.00][P=5.99e-04]	3	+	Deep intronic	ENSG00000165629.21		Genic
chr10	7807736	7807737	CITS_18[gene=chr10_f_c215][PH=3][PH0=0.00][P=5.99e-04]	3	+	3'UTR	ENSG00000165629.21		Genic
chr10	7838558	7838559	CITS_19[gene=chr10_f_c215][PH=3][PH0=0.00][P=5.99e-04]	3	+	Alu	ENSG00000165632.9	TAF3	TE
chr10	7842336	7842337	CITS_20[gene=chr10_f_c215][PH=3][PH0=0.00][P=5.99e-04]	3	+	Alu	ENSG00000165632.9	TAF3	TE
chr10	7847395	7847396	CITS_21[gene=chr10_f_c215][PH=4][PH0=0.00][P=2.17e-07]	4	+	Deep intronic	ENSG00000165632.9	TAF3	Genic
chr10	7847766	7847767	CITS_22[gene=chr10_f_c215][PH=3][PH0=0.00][P=5.99e-04]	3	+	Alu	ENSG00000165632.9	TAF3	TE
chr10	7910547	7910548	CITS_23[gene=chr10_f_c215][PH=4][PH0=0.00][P=2.17e-07]	4	+	Alu	ENSG00000165632.9	TAF3	TE
chr10	8141961	8141962	CITS_24[gene=chr10_f_c246][PH=3][PH0=0.00][P=7.21e-07]	3	+	First intron	ENSG00000306499.1	""	Genic
chr10	9625917	9625918	CITS_25[gene=chr10_f_c282][PH=2][PH0=0.00][P=7.77e-03]	2	+	Deep intronic			Genic
chr10	9830556	9830557	CITS_26[gene=chr10_f_c284][PH=4][PH0=0.09][P=3.87e-04]	4	+	Alu			TE
chr10	10598850	10598851	CITS_27[gene=chr10_f_c380][PH=6][PH0=0.00][P=1.00e-100]	6	+	Alu			TE
chr10	10598920	10598921	CITS_28[gene=chr10_f_c380][PH=4][PH0=0.00][P=4.89e-10]	4	+	Alu			TE
chr10	10855716	10855717	CITS_29[gene=chr10_f_c380][PH=15][PH0=0.00][P=1.00e-100]	15	+	First intron	ENSG00000048740.20		Genic
chr10	11221943	11221944	CITS_30[gene=chr10_f_c578][PH=6][PH0=0.00][P=1.00e-100]	6	+	Deep intronic	ENSG00000048740.20		Genic
chr10	12031430	12031431	CITS_31[gene=chr10_f_c592][PH=3][PH0=0.00][P=1.84e-03]	3	+	Deep intronic			Genic
chr10	12069883	12069884	CITS_32[gene=chr10_f_c592][PH=4][PH0=0.00][P=9.04e-07]	4	+	First intron	ENSG00000181192.13		Genic
chr10	12073965	12073966	CITS_33[gene=chr10_f_c592][PH=3][PH0=0.00][P=1.84e-03]	3	+	First intron	ENSG00000181192.13		Genic
