chr	start	end	name	score	strand	NormedTC_ERR018282	NormedTC_ERR018283	NormedTC_ERR018284	NormedTC_HNRNPC_WT	BC_HNRNPC_WT	annotation	gene	external_gene_name	grouped_annotation
chr1	630723	630743	chr1-397	58.6	+	12.0928	0	0	12.0928	1	TSS-proximal			Genic
chr1	943543	943563	chr1-52	156.4	+	16.1238	6.0503	31.2956	53.4697	3	Satellite/LC	ENSG00000187634.14		TE
chr1	1055052	1055072	chr1-398	58.6	+	4.0309	6.0503	20.8638	30.945	3	3'UTR	ENSG00000188157.16	AGRN	Genic
chr1	1105491	1105511	chr1-399	58.6	-	4.0309	18.1508	0	22.1817	2	Alu	ENSG00000131591.19		TE
chr1	1106404	1106424	chr1-400	58.6	-	4.0309	6.0503	10.4319	20.5131	3	LINE	ENSG00000131591.19		TE
chr1	1473514	1473534	chr1-406	58.6	+	0	6.0503	20.8638	26.914	2	3'UTR-distal	ENSG00000160072.21		Genic
chr1	1476521	1476541	chr1-407	58.6	+	4.0309	0	20.8638	24.8947	2	3'UTR-distal	ENSG00000160072.21		Genic
chr1	1477035	1477055	chr1-408	58.6	+	4.0309	6.0503	10.4319	20.5131	3	3'UTR-distal	ENSG00000160072.21		Genic
chr1	1478015	1478035	chr1-7	351.9	+	28.2166	30.2513	62.5913	121.0592	3	3'UTR-distal	ENSG00000160072.21		Genic
chr1	1478173	1478193	chr1-10	332.3	+	40.3094	36.3016	20.8638	97.4748	3	3'UTR-distal	ENSG00000160072.21		Genic
chr1	1527984	1528004	chr1-409	58.6	+	8.0619	6.0503	10.4319	24.544	3	Alu	ENSG00000197785.15		TE
chr1	1563522	1563542	chr1-170	78.2	-	0	0	41.7275	41.7275	1	3'UTR	ENSG00000160075.13		Genic
chr1	1573411	1573431	chr1-412	58.6	-	0	12.1005	10.4319	22.5324	2	Alu	ENSG00000160075.13		TE
chr1	1741223	1741243	chr1-416	58.6	-	0	12.1005	10.4319	22.5324	2	3'UTR-distal	ENSG00000290854.2	""	Genic
chr1	1766087	1766107	chr1-417	58.6	-	0	18.1508	0	18.1508	1	Alu	ENSG00000008130.16		TE
chr1	1787690	1787710	chr1-418	58.6	-	8.0619	6.0503	0	14.1121	2	Proximal intronic	ENSG00000078369.20		Genic
chr1	1809884	1809904	chr1-419	58.6	-	4.0309	6.0503	10.4319	20.5131	3	Deep intronic	ENSG00000078369.20		Genic
chr1	1838919	1838939	chr1-420	58.6	-	4.0309	6.0503	10.4319	20.5131	3	First intron	ENSG00000078369.20		Genic
