chr	start	end	name	score	strand	tagNumber(k)	mutationFreq(m)	FDR	count(>=m,k)	annotation	gene	external_gene_name	grouped_annotation
chr2	132255038	132255039	chr2_r_c3290[k=59][m=140]	140	-	59	140	0	1	Deep intronic			Genic
chr11	62841791	62841792	chr11_r_c1448[k=152][m=120]	120	-	152	120	0	1	5'UTR	ENSG00000133316.17		Genic
chr21	8215637	8215638	chr21_f_c148[k=46][m=76]	76	+	46	76	0	2	Deep intronic	ENSG00000278996.2	""	Genic
chr17	19188220	19188221	chr17_f_c749[k=91][m=76]	76	+	91	76	0	1	Other exon	ENSG00000263934.5	SNORD3A	Genic
chr17	19112429	19112430	chr17_r_c1092[k=59][m=74]	74	-	59	74	0	1	Proximal intronic	ENSG00000197665.8	GRAPL-AS1	Genic
chr17	19062116	19062117	chr17_f_c712[k=63][m=74]	74	+	63	74	0	1	Other exon	ENSG00000265185.6	SNORD3B-1	Genic
chr17	19063929	19063930	chr17_r_c1060[k=90][m=74]	74	-	90	74	0	1	Deep intronic	ENSG00000197665.8	GRAPL-AS1	Genic
chr1	219603481	219603482	chr1_f_c7833[k=22][m=59]	59	+	22	59	0	1	Deep intronic			Genic
chr17	19188203	19188204	chr17_f_c745[k=81][m=52]	52	+	81	52	0	1	Other exon	ENSG00000263934.5	SNORD3A	Genic
chr17	19063947	19063948	chr17_r_c1064[k=83][m=52]	52	-	83	52	0	1	Deep intronic	ENSG00000197665.8	GRAPL-AS1	Genic
chrM	1038	1039	chrM_f_c29[k=307][m=51]	51	+	307	51	0	1	Other exon	ENSG00000211459.2	MT-RNR1	Genic
chr1	75789511	75789512	chr1_f_c3222[k=70][m=50]	50	+	70	50	0	1	First intron	ENSG00000137955.17		Genic
chrM	15988	15989	chrM_r_c110[k=326][m=48]	48	-	326	48	0	1	Other exon	ENSG00000210196.2	MT-TP	Genic
chr4	55328236	55328237	chr4_f_c1276[k=27][m=45]	45	+	27	45	0	1	Deep intronic			Genic
chr1	204506582	204506583	chr1_f_c7240[k=39][m=44]	44	+	39	44	0	1	tRNA*			ncRNA
chr17	43233959	43233960	chr17_r_c1960[k=21][m=42]	42	-	21	42	0	3	First intron	ENSG00000236383.9	CCDC200	Genic
chr17	43252001	43252002	chr17_r_c1975[k=21][m=42]	42	-	21	42	0	3	First intron	ENSG00000236383.9	CCDC200	Genic
chr17	43284311	43284312	chr17_r_c1992[k=21][m=42]	42	-	21	42	0	3	First intron	ENSG00000236383.9	CCDC200	Genic
chr17	19190195	19190196	chr17_r_c1130[k=428][m=40]	40	-	428	40	0	1	Other exon	ENSG00000262202.5	""	Genic
chrX	73846786	73846787	chrX_r_c1869[k=565][m=40]	40	-	565	40	0	1	First intron	ENSG00000229807.15	XIST	Genic
chr17	19061958	19061959	chr17_f_c691[k=247][m=37]	37	+	247	37	0	1	Other exon	ENSG00000265185.6	SNORD3B-1	Genic
chrM	2052	2053	chrM_f_c118[k=218][m=36]	36	+	218	36	0	1	Other exon	ENSG00000210082.2	MT-RNR2	Genic
chr17	19188062	19188063	chr17_f_c729[k=423][m=36]	36	+	423	36	0	1	Other exon	ENSG00000263934.5	SNORD3A	Genic
chr12	104125243	104125244	chr12_f_c2638[k=33][m=32]	32	+	33	32	0	1	Other exon	ENSG00000199415.1	RNA5SP370	Genic
chr11	59560349	59560350	chr11_r_c1300[k=26][m=31]	31	-	26	31	0	1	tRNA*	ENSG00000255008.6	LINC02739	ncRNA
chrX	73851759	73851760	chrX_r_c2043[k=110][m=31]	31	-	110	31	0	1	Other exon	ENSG00000229807.15	XIST	Genic
chr17	19064086	19064087	chr17_r_c1079[k=250][m=31]	31	-	250	31	0	1	Deep intronic	ENSG00000197665.8	GRAPL-AS1	Genic
chr17	19188050	19188051	chr17_f_c728[k=326][m=31]	31	+	326	31	0	1	Other exon	ENSG00000263934.5	SNORD3A	Genic
chr17	8119210	8119211	chr17_f_c239[k=1256][m=31]	31	+	1256	31	0	1	tRNA*			ncRNA
chr17	19064099	19064100	chr17_r_c1080[k=226][m=29]	29	-	226	29	0	1	Deep intronic	ENSG00000197665.8	GRAPL-AS1	Genic
chr16	34160673	34160674	chr16_f_c1305[k=19][m=27]	27	+	19	27	0	1	Deep intronic			Genic
chr22	11251688	11251689	chr22_r_c3[k=19][m=27]	27	-	19	27	0	1	Deep intronic			Genic
chr17	19061946	19061947	chr17_f_c690[k=226][m=27]	27	+	226	27	0	2	Other exon	ENSG00000265185.6	SNORD3B-1	Genic
chr17	19190208	19190209	chr17_r_c1131[k=348][m=26]	26	-	348	26	0	1	Other exon	ENSG00000262202.5	""	Genic
chr5	94569484	94569485	chr5_r_c1637[k=271][m=25]	25	-	271	25	0	1	First intron	ENSG00000185261.16	KIAA0825	Genic
chr21	8216453	8216454	chr21_f_c158[k=14][m=24]	24	+	14	24	0	1	Deep intronic	ENSG00000278996.2	""	Genic
chr15	65296089	65296090	chr15_f_c999[k=63][m=24]	24	+	63	24	0	1	Other exon	ENSG00000199568.2	RNU5A-1	Genic
chr1	633490	633491	chr1_f_c12[k=87][m=24]	24	+	87	24	0	1	TSS-proximal			Genic
chrM	8321	8322	chrM_f_c231[k=87][m=24]	24	+	87	24	0	1	Other exon	ENSG00000210156.1	MT-TK	Genic
chrX	73823674	73823675	chrX_r_c1363[k=215][m=24]	24	-	215	24	0	1	First intron	ENSG00000229807.15	XIST	Genic
chrM	14691	14692	chrM_r_c98[k=273][m=24]	24	-	273	24	0	1	Other exon	ENSG00000210194.1	MT-TE	Genic
chrM	5673	5674	chrM_r_c14[k=883][m=24]	24	-	883	24	0	1	Other exon	ENSG00000210135.1	MT-TN	Genic
chr1	630843	630844	chr1_r_c19[k=906][m=24]	24	-	906	24	0	1	First intron	ENSG00000225880.7	LINC00115	Genic
chr15	65304715	65304716	chr15_f_c1003[k=67][m=22]	22	+	67	22	0	1	Other exon	ENSG00000200156.2	RNU5B-1	Genic
chr17	19188025	19188026	chr17_f_c721[k=109][m=20]	20	+	109	20	0	1	Other exon	ENSG00000263934.5	SNORD3A	Genic
chr17	19061921	19061922	chr17_f_c684[k=116][m=20]	20	+	116	20	0	1	Other exon	ENSG00000265185.6	SNORD3B-1	Genic
chr17	19190232	19190233	chr17_r_c1137[k=131][m=20]	20	-	131	20	0	1	Other exon	ENSG00000262202.5	""	Genic
chr17	19064123	19064124	chr17_r_c1086[k=133][m=20]	20	-	133	20	0	1	Deep intronic	ENSG00000197665.8	GRAPL-AS1	Genic
chr5	94569503	94569504	chr5_r_c1640[k=193][m=19]	19	-	193	19	0	1	First intron	ENSG00000185261.16	KIAA0825	Genic
chrM	14710	14711	chrM_r_c101[k=196][m=19]	19	-	196	19	0	1	Other exon	ENSG00000210194.1	MT-TE	Genic
chr2	132255161	132255162	chr2_r_c3291[k=10][m=17]	17	-	10	17	0	1	Deep intronic			Genic
chr16	71426549	71426550	chr16_f_c2012[k=67][m=17]	17	+	67	17	0	1	tRNA*			ncRNA
chrX	73821484	73821485	chrX_r_c1247[k=247][m=17]	17	-	247	17	0	1	Deep intronic	ENSG00000229807.15	XIST	Genic
chr15	72490377	72490378	chr15_f_c1333[k=4][m=16]	16	+	4	16	0	1	First intron	ENSG00000166233.16		Genic
chr17	78421656	78421657	chr17_f_c3982[k=4][m=16]	16	+	4	16	0	1	3'UTR	ENSG00000087157.20		Genic
chr15	82416322	82416323	chr15_f_c1827[k=14][m=16]	16	+	14	16	0	1	Deep intronic	ENSG00000259429.6	UBE2Q2P2	Genic
chrY	24154076	24154077	chrY_f_c60[k=16][m=16]	16	+	16	16	0	1	Deep intronic	ENSG00000235981.2	""	Genic
chrY	25516057	25516058	chrY_r_c81[k=34][m=16]	16	-	34	16	0	1	Deep intronic	ENSG00000235583.2	""	Genic
chr11	62855330	62855331	chr11_r_c1485[k=175][m=16]	16	-	175	16	0	1	First intron	ENSG00000255717.10	SNHG1	Genic
chr21	8218923	8218924	chr21_f_c219[k=25][m=15]	15	+	25	15	0	1	Deep intronic	ENSG00000278996.2	""	Genic
chr8	92093565	92093566	chr8_f_c1574[k=8][m=14]	14	+	8	14	0	1	Deep intronic			Genic
chr11	60594401	60594402	chr11_f_c1292[k=9][m=14]	14	+	9	14	0	1	Deep intronic	ENSG00000283601.1	MS4A19P	Genic
chr21	8215694	8215695	chr21_f_c150[k=18][m=14]	14	+	18	14	0	2	Deep intronic	ENSG00000278996.2	""	Genic
chr1	145287823	145287824	chr1_f_c5059[k=143][m=14]	14	+	143	14	0	1	tRNA*	ENSG00000276216.2	""	ncRNA
chr7	149295316	149295317	chr7_f_c4501[k=5][m=13]	13	+	5	13	0	1	Proximal intronic	ENSG00000290600.1	""	Genic
chr11	62855040	62855041	chr11_r_c1480[k=54][m=13]	13	-	54	13	0	1	First intron	ENSG00000255717.10	SNHG1	Genic
chr11	62841705	62841706	chr11_r_c1440[k=442][m=13]	13	-	442	13	0	1	5'UTR	ENSG00000133316.17		Genic
chr20	33928898	33928899	chr20_f_c853[k=3][m=12]	12	+	3	12	0	1	Alu	ENSG00000296340.1	""	TE
chr4	45451425	45451426	chr4_f_c1164[k=3][m=12]	12	+	3	12	0	1	Alu			TE
chr4	20345361	20345362	chr4_f_c618[k=27][m=12]	12	+	27	12	0	2	LTR/ERV	ENSG00000145147.21		TE
chr21	8218820	8218821	chr21_f_c214[k=51][m=12]	12	+	51	12	0	2	Deep intronic	ENSG00000278996.2	""	Genic
chr17	19064102	19064103	chr17_r_c1082[k=229][m=12]	12	-	229	12	0	1	Deep intronic	ENSG00000197665.8	GRAPL-AS1	Genic
chr17	19061944	19061945	chr17_f_c688[k=232][m=12]	12	+	232	12	0	1	Other exon	ENSG00000265185.6	SNORD3B-1	Genic
chr17	19064084	19064085	chr17_r_c1077[k=251][m=12]	12	-	251	12	0	1	Deep intronic	ENSG00000197665.8	GRAPL-AS1	Genic
chr17	19188048	19188049	chr17_f_c726[k=316][m=12]	12	+	316	12	0	2	Other exon	ENSG00000263934.5	SNORD3A	Genic
chr17	19190211	19190212	chr17_r_c1133[k=316][m=12]	12	-	316	12	0	2	Other exon	ENSG00000262202.5	""	Genic
chr1	630851	630852	chr1_r_c20[k=873][m=12]	12	-	873	12	0	1	First intron	ENSG00000225880.7	LINC00115	Genic
chr2	87805463	87805464	chr2_r_c2272[k=10][m=11]	11	-	10	11	0	2	Deep intronic	ENSG00000185304.17		Genic
chr17	76564455	76564456	chr17_f_c3867[k=16][m=11]	11	+	16	11	0	1	Alu	ENSG00000163597.18	SNHG16	TE
chr21	8218241	8218242	chr21_f_c188[k=16][m=11]	11	+	16	11	0	1	Deep intronic	ENSG00000278996.2	""	Genic
chrX	73846368	73846369	chrX_r_c1838[k=32][m=11]	11	-	32	11	0	1	First intron	ENSG00000229807.15	XIST	Genic
chrX	73844098	73844099	chrX_r_c1774[k=55][m=11]	11	-	55	11	0	1	First intron	ENSG00000229807.15	XIST	Genic
chrM	12168	12169	chrM_f_c266[k=89][m=11]	11	+	89	11	0	1	Other exon	ENSG00000210176.1	MT-TH	Genic
chrX	73842060	73842061	chrX_r_c1684[k=147][m=11]	11	-	147	11	0	1	First intron	ENSG00000229807.15	XIST	Genic
chr17	19062013	19062014	chr17_f_c700[k=257][m=11]	11	+	257	11	0	1	Other exon	ENSG00000265185.6	SNORD3B-1	Genic
chr17	19112532	19112533	chr17_r_c1104[k=260][m=11]	11	-	260	11	0	1	Proximal intronic	ENSG00000197665.8	GRAPL-AS1	Genic
chr17	19064032	19064033	chr17_r_c1071[k=267][m=11]	11	-	267	11	0	1	Deep intronic	ENSG00000197665.8	GRAPL-AS1	Genic
chr14	16055736	16055737	chr14_f_c3[k=10][m=10]	10	+	10	10	0	1	Deep intronic			Genic
chrX	73851114	73851115	chrX_r_c2001[k=55][m=10]	10	-	55	10	0	2	Other exon	ENSG00000229807.15	XIST	Genic
chrX	73851926	73851927	chrX_r_c2056[k=110][m=10]	10	-	110	10	0	2	Other exon	ENSG00000229807.15	XIST	Genic
chrX	73851966	73851967	chrX_r_c2058[k=111][m=10]	10	-	111	10	0	1	Other exon	ENSG00000229807.15	XIST	Genic
chrM	2522	2523	chrM_f_c157[k=143][m=10]	10	+	143	10	0	1	Other exon	ENSG00000210082.2	MT-RNR2	Genic
chrM	1633	1634	chrM_f_c75[k=166][m=10]	10	+	166	10	0	1	Other exon	ENSG00000210077.1	MT-TV	Genic
chr11	65502451	65502452	chr11_f_c1723[k=171][m=10]	10	+	171	10	0	1	First intron	ENSG00000251562.13	MALAT1	Genic
chrX	73822783	73822784	chrX_r_c1313[k=394][m=10]	10	-	394	10	0	1	First intron	ENSG00000229807.15	XIST	Genic
chr1	151266338	151266339	chr1_f_c5485[k=3][m=9]	9	+	3	9	0	1	CDS	ENSG00000159352.17		Genic
chr2	119254265	119254266	chr2_f_c2873[k=3][m=9]	9	+	3	9	0	2	Deep intronic	ENSG00000115107.21		Genic
chr2	232787190	232787191	chr2_f_c5738[k=3][m=9]	9	+	3	9	0	2	5'UTR	ENSG00000204120.17		Genic
chrX	137021422	137021423	chrX_f_c2679[k=3][m=9]	9	+	3	9	0	1	Deep intronic	ENSG00000234062.11	TM9SF5P	Genic
chr2	96637027	96637028	chr2_r_c2444[k=4][m=9]	9	-	4	9	0	1	CDS	ENSG00000114982.20		Genic
chr3	33400989	33400990	chr3_r_c663[k=4][m=9]	9	-	4	9	0	1	CDS	ENSG00000153560.13		Genic
chr4	119464593	119464594	chr4_f_c2505[k=4][m=9]	9	+	4	9	0	1	Deep intronic	ENSG00000291203.2	""	Genic
chr20	35708204	35708205	chr20_r_c827[k=5][m=9]	9	-	5	9	0	1	Deep intronic	ENSG00000131051.25		Genic
chr20	29299121	29299122	chr20_r_c566[k=6][m=9]	9	-	6	9	0	1	Deep intronic			Genic
chr2	65088658	65088659	chr2_r_c1736[k=6][m=9]	9	-	6	9	0	1	CDS	ENSG00000138069.19		Genic
chr10	46799806	46799807	chr10_f_c1174[k=7][m=9]	9	+	7	9	0	3	Deep intronic	ENSG00000204177.13	BMS1P1	Genic
chr1	120571133	120571134	chr1_f_c4797[k=7][m=9]	9	+	7	9	0	1	First intron	ENSG00000273694.1	U2	Genic
chr7	45252074	45252075	chr7_f_c1337[k=43][m=9]	9	+	43	9	0	1	Deep intronic			Genic
chr12	112267254	112267255	chr12_f_c2959[k=47][m=9]	9	+	47	9	0	1	Other exon	ENSG00000201428.1	RN7SKP71	Genic
chr12	112267263	112267264	chr12_f_c2960[k=63][m=9]	9	+	63	9	0	1	Other exon	ENSG00000201428.1	RN7SKP71	Genic
chrX	73847153	73847154	chrX_r_c1881[k=83][m=9]	9	-	83	9	0	1	First intron	ENSG00000229807.15	XIST	Genic
chrX	73821870	73821871	chrX_r_c1268[k=183][m=9]	9	-	183	9	0	1	Deep intronic	ENSG00000229807.15	XIST	Genic
chrX	73850278	73850279	chrX_r_c1978[k=195][m=9]	9	-	195	9	0	1	First intron	ENSG00000229807.15	XIST	Genic
chrX	73852461	73852462	chrX_r_c2082[k=267][m=9]	9	-	267	9	0	1	Other exon	ENSG00000229807.15	XIST	Genic
chrM	1582	1583	chrM_f_c71[k=317][m=9]	9	+	317	9	0	1	Other exon	ENSG00000211459.2	MT-RNR1	Genic
chr17	19188065	19188066	chr17_f_c730[k=447][m=9]	9	+	447	9	0	1	Other exon	ENSG00000263934.5	SNORD3A	Genic
chr1	120736150	120736151	chr1_f_c4806[k=2][m=8]	8	+	2	8	0	2	First intron	ENSG00000273136.9	NBPF26	Genic
chr1	149403164	149403165	chr1_f_c5232[k=2][m=8]	8	+	2	8	0	2	First intron	ENSG00000286185.1	""	Genic
chr14	19123335	19123336	chr14_f_c101[k=2][m=8]	8	+	2	8	0	2	LINE	ENSG00000293329.2	DUXAP9	TE
chr14	19276655	19276656	chr14_r_c17[k=2][m=8]	8	-	2	8	0	2	LINE	ENSG00000292986.2	DUXAP10	TE
chr15	28597157	28597158	chr15_f_c101[k=2][m=8]	8	+	2	8	0	4	LINE	ENSG00000206149.13	HERC2P9	TE
chr15	82424742	82424743	chr15_f_c1841[k=2][m=8]	8	+	2	8	0	4	Deep intronic	ENSG00000278202.1	GOLGA6L9-AS1	Genic
chr2	131716819	131716820	chr2_f_c3079[k=2][m=8]	8	+	2	8	0	1	LINE	ENSG00000287151.2	LINC03124	TE
chr22	15845709	15845710	chr22_f_c114[k=2][m=8]	8	+	2	8	0	1	LINE	ENSG00000206195.12	DUXAP8	TE
chrY	24162503	24162504	chrY_f_c65[k=2][m=8]	8	+	2	8	0	2	Deep intronic			Genic
chrY	25507639	25507640	chrY_r_c76[k=2][m=8]	8	-	2	8	0	2	Deep intronic			Genic
chr1	224006406	224006407	chr1_f_c7984[k=3][m=8]	8	+	3	8	0	4	First intron	ENSG00000290989.2	SEPTIN7P13	Genic
chr15	45555944	45555945	chr15_f_c684[k=3][m=8]	8	+	3	8	0	1	Other exon	ENSG00000179362.15	HMGN2P46	Genic
chr16	26032523	26032524	chr16_r_c1115[k=3][m=8]	8	-	3	8	0	1	First intron	ENSG00000303230.1	""	Genic
chr17	7311404	7311405	chr17_f_c195[k=3][m=8]	8	+	3	8	0	1	CDS	ENSG00000132507.19		Genic
chr7	45755292	45755293	chr7_r_c1265[k=3][m=8]	8	-	3	8	0	5	Deep intronic	ENSG00000214765.11	SEPTIN7P2	Genic
chr14	65238672	65238673	chr14_f_c1245[k=4][m=8]	8	+	4	8	0	1	Alu			TE
chr21	8214178	8214179	chr21_f_c137[k=4][m=8]	8	+	4	8	0	1	Deep intronic	ENSG00000278996.2	""	Genic
chr22	11252038	11252039	chr22_r_c5[k=4][m=8]	8	-	4	8	0	1	Deep intronic			Genic
chr3	22382589	22382590	chr3_f_c666[k=4][m=8]	8	+	4	8	0	2	Other exon	ENSG00000293339.1	""	Genic
chr17	46505637	46505638	chr17_f_c2236[k=5][m=8]	8	+	5	8	0	2	Alu	ENSG00000266497.1	RDM1P2	TE
chr5	69923522	69923523	chr5_f_c1214[k=5][m=8]	8	+	5	8	0	3	LTR/ERV	ENSG00000295602.1	""	TE
chr5	70194595	70194596	chr5_r_c919[k=5][m=8]	8	-	5	8	0	3	LTR/ERV	ENSG00000300022.1	""	TE
chr5	70798571	70798572	chr5_f_c1337[k=5][m=8]	8	+	5	8	0	3	LTR/ERV	ENSG00000297805.1	""	TE
chr5	71194985	71194986	chr5_r_c1030[k=6][m=8]	8	-	6	8	0	1	LTR/ERV	ENSG00000296329.1	""	TE
chr13	99205914	99205915	chr13_f_c1855[k=7][m=8]	8	+	7	8	0	1	First intron	ENSG00000134882.17		Genic
chr1	121388822	121388823	chr1_f_c4947[k=9][m=8]	8	+	9	8	0	6	3'UTR	ENSG00000171943.13		Genic
chr1	144069326	144069327	chr1_f_c5039[k=9][m=8]	8	+	9	8	0	6	Deep intronic			Genic
chr1	206407563	206407564	chr1_f_c7451[k=9][m=8]	8	+	9	8	0	6	Deep intronic	ENSG00000266028.9		Genic
chr2	86964450	86964451	chr2_f_c2077[k=9][m=8]	8	+	9	8	0	1	Deep intronic	ENSG00000187627.18	RGPD1	Genic
