chr	start	end	name	score	strand	annotation	gene	external_gene_name	grouped_annotation
chr10	3120971	3120972	CITS_1[gene=chr10_f_c130][PH=3][PH0=0.00][P=4.43e-05]	3	+	Deep intronic	ENSG00000067057.20		Genic
chr10	14912230	14912231	CITS_2[gene=chr10_f_c813][PH=3][PH0=0.00][P=1.88e-06]	3	+	3'UTR-distal			Genic
chr10	17237537	17237538	CITS_3[gene=chr10_f_c879][PH=5][PH0=0.21][P=1.16e-03]	5	+	3'UTR	ENSG00000026025.17		Genic
chr10	21481773	21481774	CITS_4[gene=chr10_f_c1264][PH=2][PH0=0.00][P=6.41e-04]	2	+	Other exon	ENSG00000199222.1	Y_RNA	Genic
chr10	29814639	29814640	CITS_5[gene=chr10_f_c1791][PH=2][PH0=0.00][P=2.77e-04]	2	+	Alu	ENSG00000303513.1	""	TE
chr10	46805855	46805856	CITS_6[gene=chr10_f_c2584][PH=2][PH0=0.00][P=3.52e-03]	2	+	Deep intronic	ENSG00000291069.2	BMS1P1	Genic
chr10	58395273	58395274	CITS_7[gene=chr10_f_c2973][PH=2][PH0=0.00][P=4.74e-03]	2	+	3'UTR	ENSG00000108064.12		Genic
chr10	70426771	70426772	CITS_8[gene=chr10_f_c3613][PH=4][PH0=0.07][P=4.35e-04]	4	+	3'UTR	ENSG00000148730.8		Genic
chr10	75752227	75752228	CITS_9[gene=chr10_f_c4432][PH=3][PH0=0.00][P=1.01e-06]	3	+	Alu	ENSG00000148655.16	LRMDA	TE
chr10	87455664	87455665	CITS_10[gene=chr10_f_c5013][PH=4][PH0=0.08][P=2.72e-04]	4	+	First intron	ENSG00000305816.1	""	Genic
chr10	92654563	92654564	CITS_11[gene=chr10_f_c5735][PH=3][PH0=0.00][P=1.06e-05]	3	+	3'UTR	ENSG00000138160.8		Genic
chr10	110134004	110134005	CITS_12[gene=chr10_f_c7145][PH=2][PH0=0.00][P=9.25e-03]	2	+	3'UTR	ENSG00000148700.16		Genic
chr10	6634691	6634692	CITS_13[gene=chr10_r_c408][PH=3][PH0=0.00][P=6.88e-10]	3	-	LTR/ERV			TE
chr10	34391467	34391468	CITS_14[gene=chr10_r_c2339][PH=4][PH0=0.00][P=8.29e-10]	4	-	Deep intronic	ENSG00000148498.18		Genic
chr10	43386346	43386347	CITS_15[gene=chr10_r_c2788][PH=3][PH0=0.00][P=5.90e-06]	3	-	3'UTR	ENSG00000169813.18		Genic
chr10	49829243	49829244	CITS_16[gene=chr10_r_c3206][PH=2][PH0=0.00][P=5.17e-03]	2	-	Alu	ENSG00000227345.10		TE
chr10	68068488	68068489	CITS_17[gene=chr10_r_c4441][PH=3][PH0=0.06][P=4.91e-03]	3	-	3'UTR	ENSG00000148634.17		Genic
chr10	68522983	68522984	CITS_18[gene=chr10_r_c4572][PH=3][PH0=0.00][P=3.13e-06]	3	-	Alu	ENSG00000122912.16		TE
chr10	69595221	69595222	CITS_19[gene=chr10_r_c4588][PH=2][PH0=0.00][P=5.36e-05]	2	-	Alu			TE
chr10	78786852	78786853	CITS_20[gene=chr10_r_c5278][PH=2][PH0=0.00][P=4.67e-05]	2	-	Alu			TE
chr10	79760145	79760146	CITS_21[gene=chr10_r_c5393][PH=4][PH0=0.08][P=2.72e-04]	4	-	First intron	ENSG00000225484.8	NUTM2B-AS1	Genic
chr10	87282308	87282309	CITS_22[gene=chr10_r_c5696][PH=4][PH0=0.08][P=2.72e-04]	4	-	Deep intronic	ENSG00000223482.11	NUTM2A-AS1	Genic
