chr	start	end	name	score	strand	signal	coverage	fraction	pvalue	qvalue	annotation	gene	external_gene_name	grouped_annotation
chr1	247369535	247369536	trunc:chr1:247369535:+	1000	+	94	94	1	7.342e-121	4.79e-117	LTR/ERV	ENSG00000162711.20		TE
chr1	28507536	28507537	trunc:chr1:28507536:+	1000	+	50	80	0.625	1.443e-58	4.707e-55	3'UTR-distal	ENSG00000180198.18		Genic
chr1	630716	630717	trunc:chr1:630716:+	1000	+	50	109	0.4587	2.204e-46	4.793e-43	TSS-proximal			Genic
chr1	94518363	94518364	trunc:chr1:94518363:+	1000	+	47	85	0.5529	8.728e-45	1.424e-41	3'UTR	ENSG00000117528.15		Genic
chr1	44778388	44778389	trunc:chr1:44778388:+	1000	+	24	25	0.96	1.692e-37	2.207e-34	Proximal intronic	ENSG00000142937.13		Genic
chr1	193251444	193251445	trunc:chr1:193251444:+	1000	+	29	44	0.6591	1.169e-29	1.271e-26	3'UTR	ENSG00000134371.16		Genic
chr1	44778414	44778415	trunc:chr1:44778414:+	1000	+	43	178	0.2416	5.317e-29	4.956e-26	Proximal intronic	ENSG00000142937.13		Genic
chr1	75789497	75789498	trunc:chr1:75789497:+	1000	+	33	89	0.3708	1.282e-28	1.046e-25	First intron	ENSG00000137955.17		Genic
chr1	248873944	248873945	trunc:chr1:248873944:+	1000	+	21	23	0.913	3.249e-28	2.355e-25	tRNA*			ncRNA
chr1	94423297	94423298	trunc:chr1:94423297:+	1000	+	22	28	0.7857	1.154e-26	7.532e-24	First intron	ENSG00000117528.15		Genic
chr1	94518370	94518371	trunc:chr1:94518370:+	1000	+	45	203	0.2217	1.268e-22	7.518e-20	3'UTR	ENSG00000117528.15		Genic
chr1	22091810	22091811	trunc:chr1:22091810:+	1000	+	30	128	0.2344	4.834e-21	2.628e-18	3'UTR	ENSG00000070831.19		Genic
chr1	70222545	70222546	trunc:chr1:70222545:+	1000	+	25	58	0.431	7.92e-21	3.975e-18	First intron	ENSG00000116754.15		Genic
chr1	169132487	169132488	trunc:chr1:169132487:+	1000	+	25	62	0.4032	1.182e-20	5.509e-18	3'UTR	ENSG00000143153.15		Genic
chr1	630713	630714	trunc:chr1:630713:+	1000	+	20	41	0.4878	3.932e-20	1.71e-17	TSS-proximal			Genic
chr1	28508727	28508728	trunc:chr1:28508727:+	1000	+	17	30	0.5667	1.18e-19	4.811e-17	3'UTR-distal	ENSG00000180198.18		Genic
chr1	169131956	169131957	trunc:chr1:169131956:+	1000	+	19	34	0.5588	2.088e-19	8.013e-17	3'UTR	ENSG00000143153.15		Genic
chr1	630726	630727	trunc:chr1:630726:+	1000	+	34	166	0.2048	6.153e-19	2.23e-16	TSS-proximal			Genic
chr1	42668186	42668187	trunc:chr1:42668186:+	1000	+	17	26	0.6538	8.35e-19	2.867e-16	3'UTR	ENSG00000171960.13		Genic
chr1	215621423	215621424	trunc:chr1:215621423:+	1000	+	19	34	0.5588	2.91e-18	9.493e-16	3'UTR	ENSG00000136636.14		Genic
chr1	75789509	75789510	trunc:chr1:75789509:+	1000	+	34	192	0.1771	5.551e-18	1.724e-15	First intron	ENSG00000137955.17		Genic
chr1	94518360	94518361	trunc:chr1:94518360:+	1000	+	13	15	0.8667	1.75e-17	5.188e-15	3'UTR	ENSG00000117528.15		Genic
chr1	75789525	75789526	trunc:chr1:75789525:+	1000	+	41	296	0.1385	2.342e-17	6.644e-15	First intron	ENSG00000137955.17		Genic
chr1	113977246	113977247	trunc:chr1:113977246:+	1000	+	19	44	0.4318	3.785e-17	1.029e-14	3'UTR	ENSG00000163349.23		Genic
chr1	47376903	47376904	trunc:chr1:47376903:+	1000	+	21	55	0.3818	4.412e-17	1.107e-14	3'UTR	ENSG00000162368.16		Genic
chr1	44775895	44775896	trunc:chr1:44775895:+	1000	+	20	68	0.2941	4.251e-17	1.107e-14	3'UTR-distal	ENSG00000142937.13		Genic
chr1	73797175	73797176	trunc:chr1:73797175:+	1000	+	12	12	1	3.862e-16	9.332e-14	Deep intronic			Genic
chr1	112670376	112670377	trunc:chr1:112670376:+	1000	+	19	57	0.3333	5.127e-16	1.195e-13	3'UTR	ENSG00000116489.14		Genic
chr1	90027961	90027962	trunc:chr1:90027961:+	1000	+	17	36	0.4722	1.371e-15	3.083e-13	3'UTR	ENSG00000162664.18		Genic
chr1	95192851	95192852	trunc:chr1:95192851:+	1000	+	18	38	0.4737	1.555e-15	3.382e-13	3'UTR	ENSG00000152078.11		Genic
chr1	75787912	75787913	trunc:chr1:75787912:+	1000	+	17	58	0.2931	4.414e-15	9.29e-13	First intron	ENSG00000137955.17		Genic
chr1	156800770	156800771	trunc:chr1:156800770:+	1000	+	15	29	0.5172	5.747e-15	1.172e-12	3'UTR	ENSG00000143294.16		Genic
chr1	200860609	200860610	trunc:chr1:200860609:+	1000	+	11	13	0.8462	9.048e-15	1.789e-12	3'UTR	ENSG00000118200.17		Genic
chr1	204506608	204506609	trunc:chr1:204506608:+	1000	+	9	9	1	1.482e-14	2.845e-12	Deep intronic			Genic
chr1	94518361	94518362	trunc:chr1:94518361:+	1000	+	15	30	0.5	2.155e-14	4.016e-12	3'UTR	ENSG00000117528.15		Genic
chr1	75787922	75787923	trunc:chr1:75787922:+	1000	+	20	96	0.2083	2.362e-14	4.281e-12	First intron	ENSG00000137955.17		Genic
chr1	110342468	110342469	trunc:chr1:110342468:+	1000	+	17	42	0.4048	2.545e-14	4.488e-12	3'UTR	ENSG00000162775.17	RBM15	Genic
chr1	44778408	44778409	trunc:chr1:44778408:+	1000	+	21	94	0.2234	3.182e-14	5.463e-12	Proximal intronic	ENSG00000142937.13		Genic
chr1	44777840	44777841	trunc:chr1:44777840:+	1000	+	9	11	0.8182	4.316e-14	7.22e-12	Deep intronic	ENSG00000142937.13		Genic
chr1	226064590	226064591	trunc:chr1:226064590:+	1000	+	11	14	0.7857	8.711e-14	1.386e-11	First intron	ENSG00000163041.14		Genic
chr1	24842790	24842791	trunc:chr1:24842790:+	1000	+	13	24	0.5417	8.514e-14	1.386e-11	3'UTR	ENSG00000169504.16		Genic
chr1	187155931	187155932	trunc:chr1:187155931:+	1000	+	14	27	0.5185	1.459e-13	2.266e-11	LINE	ENSG00000230426.6	LINC01036	TE
chr1	26781868	26781869	trunc:chr1:26781868:+	1000	+	14	31	0.4516	1.874e-13	2.843e-11	3'UTR	ENSG00000117713.22	ARID1A	Genic
chr1	70222542	70222543	trunc:chr1:70222542:+	1000	+	14	28	0.5	2.128e-13	3.155e-11	First intron	ENSG00000116754.15		Genic
chr1	178130351	178130352	trunc:chr1:178130351:+	1000	+	11	14	0.7857	2.452e-13	3.555e-11	First intron	ENSG00000075391.19		Genic
chr1	44777841	44777842	trunc:chr1:44777841:+	1000	+	11	23	0.4783	3.871e-13	5.49e-11	Deep intronic	ENSG00000142937.13		Genic
chr1	219192651	219192652	trunc:chr1:219192651:+	999	+	10	12	0.8333	7.227e-13	1.003e-10	First intron	ENSG00000143353.13		Genic
chr1	75787094	75787095	trunc:chr1:75787094:+	997	+	13	34	0.3824	7.745e-13	1.053e-10	First intron	ENSG00000137955.17		Genic
chr1	168528735	168528736	trunc:chr1:168528735:+	949	+	11	15	0.7333	2.388e-12	3.179e-10	First intron	ENSG00000307038.1	""	Genic
chr1	32683377	32683378	trunc:chr1:32683377:+	931	+	11	17	0.6471	3.713e-12	4.844e-10	3'UTR	ENSG00000162521.19	RBBP4	Genic
chr1	169132045	169132046	trunc:chr1:169132045:+	926	+	13	29	0.4483	4.273e-12	5.466e-10	3'UTR	ENSG00000143153.15		Genic
chr1	94455946	94455947	trunc:chr1:94455946:+	924	+	12	24	0.5	4.542e-12	5.698e-10	First intron	ENSG00000117528.15		Genic
chr1	207793288	207793289	trunc:chr1:207793288:+	924	+	8	8	1	4.842e-12	5.744e-10	Deep intronic	ENSG00000117335.22		Genic
chr1	51788353	51788354	trunc:chr1:51788353:+	924	+	9	10	0.9	4.842e-12	5.744e-10	3'UTR	ENSG00000117859.20		Genic
chr1	93361738	93361739	trunc:chr1:93361738:+	924	+	10	14	0.7143	4.741e-12	5.744e-10	3'UTR	ENSG00000117505.14		Genic
chr1	198192418	198192419	trunc:chr1:198192418:+	917	+	10	14	0.7143	5.775e-12	6.728e-10	LINE	ENSG00000151414.16		TE
chr1	94479215	94479216	trunc:chr1:94479215:+	910	+	9	11	0.8182	6.858e-12	7.85e-10	First intron	ENSG00000117528.15		Genic
chr1	94450272	94450273	trunc:chr1:94450272:+	904	+	9	11	0.8182	8.068e-12	9.075e-10	LTR/ERV	ENSG00000117528.15		TE
chr1	198163706	198163707	trunc:chr1:198163706:+	903	+	9	10	0.9	8.313e-12	9.192e-10	First intron	ENSG00000151414.16		Genic
chr1	193085469	193085470	trunc:chr1:193085469:+	902	+	13	31	0.4194	8.639e-12	9.393e-10	3'UTR	ENSG00000116747.14		Genic
chr1	193251441	193251442	trunc:chr1:193251441:+	901	+	8	8	1	9.085e-12	9.716e-10	3'UTR	ENSG00000134371.16		Genic
chr1	44778428	44778429	trunc:chr1:44778428:+	891	+	32	294	0.1088	1.164e-11	1.225e-09	Proximal intronic	ENSG00000142937.13		Genic
