chr	start	end	name	score	strand	annotation	gene	external_gene_name	grouped_annotation
chr10	3814142	3814143	CITS_1[gene=chr10_f_c40][PH=2][PH0=0.00][P=8.14e-03]	2	+	First intron	ENSMUSG00000040624.19	Plekhg1	Genic
chr10	4286740	4286741	CITS_2[gene=chr10_f_c76][PH=2][PH0=0.00][P=4.38e-03]	2	+	Alu	ENSMUSG00000038587.11	Akap12	TE
chr10	5375752	5375753	CITS_3[gene=chr10_f_c167][PH=2][PH0=0.00][P=2.02e-04]	2	+	First intron	ENSMUSG00000138374.1	""	Genic
chr10	10599249	10599250	CITS_4[gene=chr10_f_c369][PH=2][PH0=0.00][P=3.11e-04]	2	+	Deep intronic			Genic
chr10	10989431	10989432	CITS_5[gene=chr10_f_c374][PH=3][PH0=0.00][P=2.99e-06]	3	+	Intergenic			Intergenic
chr10	12815083	12815084	CITS_6[gene=chr10_f_c427][PH=2][PH0=0.00][P=6.77e-03]	2	+	Satellite/LC			TE
chr10	12976883	12976884	CITS_7[gene=chr10_f_c427][PH=2][PH0=0.00][P=6.77e-03]	2	+	First intron	ENSMUSG00000019817.19	Plagl1	Genic
chr10	13884874	13884875	CITS_9[gene=chr10_f_c439][PH=3][PH0=0.00][P=8.44e-05]	3	+	LTR/ERV	ENSMUSG00000015501.11	Hivep2	TE
chr10	14025504	14025505	CITS_10[gene=chr10_f_c439][PH=6][PH0=0.00][P=1.00e-100]	6	+	3'UTR	ENSMUSG00000015501.11	Hivep2	Genic
chr10	14025540	14025541	CITS_11[gene=chr10_f_c439][PH=3][PH0=0.00][P=8.44e-05]	3	+	3'UTR	ENSMUSG00000015501.11	Hivep2	Genic
chr10	14025586	14025587	CITS_12[gene=chr10_f_c439][PH=5][PH0=0.00][P=1.00e-100]	5	+	3'UTR	ENSMUSG00000015501.11	Hivep2	Genic
chr10	14025617	14025618	CITS_13[gene=chr10_f_c439][PH=3][PH0=0.00][P=8.44e-05]	3	+	3'UTR	ENSMUSG00000015501.11	Hivep2	Genic
