chr	start	end	name	score	strand	NormedTC_ERR018282	NormedTC_ERR018283	NormedTC_ERR018284	NormedTC_HNRNPC_WT	BC_HNRNPC_WT	annotation	gene	external_gene_name	grouped_annotation
chr1	943543	943563	chr1-52	156.4	+	16.1238	6.0503	31.2956	53.4697	3	Satellite/LC	ENSG00000187634.14	""	TE
chr1	1055052	1055072	chr1-398	58.6	+	4.0309	6.0503	20.8638	30.945	3	3'UTR	ENSG00000188157.16	AGRN	Genic
chr1	1473514	1473534	chr1-406	58.6	+	0	6.0503	20.8638	26.914	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1476521	1476541	chr1-407	58.6	+	4.0309	0	20.8638	24.8947	2	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1478015	1478035	chr1-7	351.9	+	28.2166	30.2513	62.5913	121.0592	3	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1478173	1478193	chr1-10	332.3	+	40.3094	36.3016	20.8638	97.4748	3	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1527984	1528004	chr1-409	58.6	+	8.0619	6.0503	10.4319	24.544	3	Alu	ENSG00000197785.15	""	TE
chr1	1563522	1563542	chr1-170	78.2	-	0	0	41.7275	41.7275	1	3'UTR	ENSG00000160075.13	""	Genic
chr1	1573411	1573431	chr1-412	58.6	-	0	12.1005	10.4319	22.5324	2	Alu	ENSG00000160075.13	""	TE
chr1	1741223	1741243	chr1-416	58.6	-	0	12.1005	10.4319	22.5324	2	3'UTR-distal	ENSG00000290854.2	""	Genic
chr1	1889641	1889661	chr1-425	58.6	-	0	12.1005	10.4319	22.5324	2	Alu	ENSG00000078369.20	""	TE
chr1	3889681	3889701	chr1-174	78.2	-	4.0309	12.1005	10.4319	26.5633	3	3'UTR	ENSG00000198912.12	C1orf174	Genic
chr1	7980876	7980896	chr1-175	78.2	+	12.0928	12.1005	0	24.1934	2	Alu	ENSG00000116288.14	""	TE
chr1	8868202	8868222	chr1-436	97.7	-	8.0619	12.1005	10.4319	30.5943	3	Deep intronic	ENSG00000074800.17	""	Genic
chr1	8877859	8877879	chr1-53	117.3	-	16.1238	0	20.8638	36.9875	2	Alu	ENSG00000074800.17	""	TE
chr1	9156634	9156654	chr1-437	58.6	-	4.0309	0	20.8638	24.8947	2	Alu	ENSG00000228526.9	MIR34AHG	TE
chr1	9963418	9963438	chr1-177	78.2	+	0	18.1508	10.4319	28.5827	2	Alu	ENSG00000173614.15	""	TE
chr1	10086708	10086728	chr1-440	58.6	+	0	0	31.2956	31.2956	1	Alu	ENSG00000130939.21	""	TE
chr1	10490727	10490747	chr1-442	58.6	+	4.0309	0	20.8638	24.8947	2	Alu	ENSG00000142655.14	""	TE
chr1	11017215	11017235	chr1-87	97.7	+	4.0309	18.1508	10.4319	32.6136	3	Alu	ENSG00000120948.20	""	TE
chr1	11023133	11023153	chr1-179	78.2	+	4.0309	18.1508	10.4319	32.6136	3	3'UTR	ENSG00000120948.20	""	Genic
chr1	11078092	11078112	chr1-444	78.2	-	0	18.1508	10.4319	28.5827	2	Alu	ENSG00000171824.15	""	TE
chr1	11827450	11827470	chr1-446	58.6	+	4.0309	0	20.8638	24.8947	2	Alu	ENSG00000011021.24	""	TE
chr1	11908188	11908208	chr1-12	430	+	52.4022	72.6032	52.1594	177.1648	3	Other exon	ENSG00000199347.2	RNU5E-1	Genic
chr1	11908276	11908296	chr1-8	351.9	+	40.3094	72.6032	104.3188	217.2314	3	Other exon	ENSG00000285646.3	""	Genic
chr1	11909822	11909842	chr1-1	1114.2	-	193.4852	193.6085	219.0695	606.1631	3	3'UTR-distal	ENSG00000201801.1	RNU5E-4P	Genic
chr1	14674797	14674817	chr1-180	78.2	+	12.0928	0	10.4319	22.5247	2	Alu	ENSG00000189337.17	KAZN	TE
chr1	15532708	15532728	chr1-181	78.2	+	12.0928	0	10.4319	22.5247	2	First intron	ENSG00000116138.14	""	Genic
chr1	16316710	16316730	chr1-457	58.6	-	0	0	31.2956	31.2956	1	5'UTR	ENSG00000037637.12	""	Genic
chr1	17415335	17415355	chr1-463	58.6	-	0	6.0503	20.8638	26.914	2	Deep intronic	ENSG00000179051.15	""	Genic
chr1	17417883	17417903	chr1-183	97.7	-	12.0928	6.0503	10.4319	28.575	3	Deep intronic	ENSG00000179051.15	""	Genic
chr1	17419037	17419057	chr1-184	78.2	-	12.0928	0	10.4319	22.5247	2	Deep intronic	ENSG00000179051.15	""	Genic
chr1	17422012	17422032	chr1-185	78.2	-	4.0309	6.0503	20.8638	30.945	3	Alu	ENSG00000179051.15	""	TE
chr1	19123431	19123451	chr1-468	78.2	-	12.0928	0	10.4319	22.5247	2	Alu	ENSG00000127481.15	UBR4	TE
chr1	20743181	20743201	chr1-54	117.3	-	8.0619	12.1005	20.8638	41.0262	3	3'UTR	ENSG00000127483.21	""	Genic
chr1	20744044	20744064	chr1-472	97.7	-	8.0619	6.0503	20.8638	34.9759	3	3'UTR	ENSG00000127483.21	""	Genic
chr1	20744142	20744162	chr1-89	117.3	-	12.0928	12.1005	20.8638	45.0571	3	3'UTR	ENSG00000127483.21	""	Genic
chr1	20774967	20774987	chr1-39	234.6	-	12.0928	30.2513	52.1594	94.5035	3	5'UTR	ENSG00000127483.21	""	Genic
chr1	20775100	20775120	chr1-40	136.8	-	20.1547	6.0503	10.4319	36.6368	3	Deep intronic	ENSG00000127483.21	""	Genic
chr1	20775494	20775514	chr1-90	175.9	-	16.1238	18.1508	31.2956	65.5702	3	Deep intronic	ENSG00000127483.21	""	Genic
chr1	20785819	20785839	chr1-475	58.6	-	4.0309	0	20.8638	24.8947	2	First intron	ENSG00000127483.21	""	Genic
chr1	20806776	20806796	chr1-188	78.2	-	4.0309	12.1005	10.4319	26.5633	3	3'UTR	ENSG00000075151.24	EIF4G3	Genic
chr1	20933650	20933670	chr1-477	58.6	-	4.0309	12.1005	10.4319	26.5633	3	Alu	ENSG00000075151.24	EIF4G3	TE
chr1	21037221	21037241	chr1-481	58.6	-	4.0309	0	20.8638	24.8947	2	Satellite/LC	ENSG00000075151.24	EIF4G3	TE
