chr	start	end	name	score	strand	NormedTC_ENCFF040BGS	NormedTC_ENCFF065BIC	NormedTC_HepG2_HNRNPC	BC_HepG2_HNRNPC	annotation	gene	external_gene_name	grouped_annotation
chr1	629509	629529	chr1-8348	9.03	-	1.8909	0.1842	2.0751	2	tRNA*	ENSG00000225880.7	LINC00115	ncRNA
chr1	629584	629604	chr1-4556	8.6	+	1.6072	0.4604	2.0677	2	TSS-proximal	""	""	Genic
chr1	629930	629950	chr1-3959	10.3	+	1.6072	1.5655	3.1727	2	Other exon	ENSG00000225630.1	MTND2P28	Genic
chr1	630719	630739	chr1-289	28.4	+	2.5527	4.144	6.6966	2	TSS-proximal	""	""	Genic
chr1	630766	630786	chr1-3444	9.46	-	1.5127	0.5525	2.0652	2	First intron	ENSG00000225880.7	LINC00115	Genic
chr1	632627	632647	chr1-244	37	-	5.389	2.6706	8.0596	2	tRNA*	ENSG00000225880.7	LINC00115	ncRNA
chr1	634006	634026	chr1-123	32.7	+	6.7126	5.5253	12.2379	2	Other exon	ENSG00000248527.1	MTATP6P1	Genic
chr1	745002	745022	chr1-1732	14.6	-	2.08	1.5655	3.6455	2	Alu	ENSG00000225880.7	LINC00115	TE
chr1	769191	769211	chr1-2618	14.6	-	2.4581	0.8288	3.2869	2	Alu	ENSG00000225880.7	LINC00115	TE
chr1	775813	775833	chr1-7090	13.8	-	1.8909	1.2892	3.1801	2	Alu	ENSG00000225880.7	LINC00115	TE
chr1	779893	779913	chr1-6145	7.31	+	0.6618	1.6576	2.3194	2	Alu	ENSG00000237491.11	LINC01409	TE
chr1	780636	780656	chr1-7091	8.6	+	1.4182	0.9209	2.339	2	Alu	ENSG00000237491.11	LINC01409	TE
chr1	852988	853008	chr1-6146	6.88	+	1.04	0.9209	1.9609	2	Alu	ENSG00000228794.13	LINC01128	TE
chr1	954639	954659	chr1-6147	10.7	-	1.04	1.3813	2.4213	2	Alu	ENSG00000188976.12	""	TE
chr1	954796	954816	chr1-8352	5.16	-	1.1345	0.7367	1.8712	2	Alu	ENSG00000188976.12	""	TE
chr1	1002214	1002234	chr1-9913	5.59	+	1.04	1.013	2.053	2	Alu	ENSG00000187608.11	""	TE
chr1	1002443	1002463	chr1-4557	8.6	+	1.4182	1.013	2.4311	2	Alu	ENSG00000187608.11	""	TE
