chr	start	end	name	score	strand	NormedTC_ENCFF452ZWM	NormedTC_ENCFF786UGT	NormedTC_K562_ELAVL1	BC_K562_ELAVL1	annotation	gene	external_gene_name	grouped_annotation
chr1	629926	629946	chr1-1316	101.1	+	6.3525	20.5796	26.9321	2	Other exon	ENSG00000225630.1	MTND2P28	Genic
chr1	634006	634026	chr1-1097	82.7	+	13.0579	30.4918	43.5497	2	Other exon	ENSG00000248527.1	MTATP6P1	Genic
chr1	634020	634040	chr1-6799	12.9	-	2.6469	3.0209	5.6677	2	Deep intronic	ENSG00000225880.7	LINC00115	Genic
chr1	710271	710291	chr1-9301	10.1	-	2.294	1.6992	3.9932	2	First intron	ENSG00000225880.7	LINC00115	Genic
chr1	832225	832245	chr1-19735	16.2	+	1.7646	1.7936	3.5582	2	Deep intronic	ENSG00000228794.13	LINC01128	Genic
chr1	944265	944285	chr1-761	24.6	-	4.7644	3.2097	7.974	2	3'UTR	ENSG00000188976.12	""	Genic
chr1	944367	944387	chr1-3207	15.6	-	4.0585	7.3634	11.4219	2	3'UTR	ENSG00000188976.12	""	Genic
chr1	944411	944431	chr1-1635	29.6	-	1.941	5.5697	7.5108	2	3'UTR	ENSG00000188976.12	""	Genic
chr1	944529	944549	chr1-1024	46.9	-	5.6467	6.9857	12.6324	2	3'UTR	ENSG00000188976.12	""	Genic
chr1	944768	944788	chr1-519	34.6	-	3.5292	5.0033	8.5325	2	CDS	ENSG00000188976.12	""	Genic
chr1	945112	945132	chr1-957	26.8	-	2.1175	3.8705	5.988	2	CDS	ENSG00000188976.12	""	Genic
chr1	945516	945536	chr1-6800	8.94	-	1.0587	2.6433	3.702	2	CDS	ENSG00000188976.12	""	Genic
chr1	954648	954668	chr1-5931	19	-	1.5881	3.1153	4.7034	2	Alu	ENSG00000188976.12	""	TE
chr1	954809	954829	chr1-539	49.2	-	7.9406	11.1394	19.08	2	Alu	ENSG00000188976.12	""	TE
chr1	965340	965360	chr1-1636	37.4	+	5.2937	4.7201	10.0138	2	3'UTR	ENSG00000187961.16	""	Genic
chr1	1055050	1055070	chr1-1160	35.8	+	5.2937	4.9089	10.2026	2	3'UTR	ENSG00000188157.16	AGRN	Genic
chr1	1055736	1055756	chr1-9305	13.4	+	1.7646	1.6048	3.3694	2	3'UTR	ENSG00000188157.16	AGRN	Genic
