chr	start	end	name	score	strand	NormedTC_ENCFF289OFA	NormedTC_ENCFF647KDW	NormedTC_HepG2_RBFOX2	BC_HepG2_RBFOX2	annotation	gene	external_gene_name	grouped_annotation
chr1	17484	17504	chr1-228	59.1	-	5.7019	13.0745	18.7764	2	Proximal intronic	ENSG00000227232.6	WASH7P	Genic
chr1	630717	630737	chr1-1680	66.1	+	5.4643	8.0824	13.5467	2	TSS-proximal	""	""	Genic
chr1	634007	634027	chr1-262	41.7	+	6.177	6.1807	12.3577	2	Other exon	ENSG00000248527.1	MTATP6P1	Genic
chr1	846529	846549	chr1-147	69.5	+	6.8898	9.271	16.1608	2	LINE	ENSG00000228794.13	LINC01128	TE
chr1	949228	949248	chr1-626	25.5	-	5.2267	2.8526	8.0793	2	Deep intronic	ENSG00000188976.12	""	Genic
chr1	952716	952736	chr1-627	26.7	-	2.6134	4.5166	7.13	2	Deep intronic	ENSG00000188976.12	""	Genic
chr1	952819	952839	chr1-628	27.8	-	2.8509	4.7544	7.6053	2	Deep intronic	ENSG00000188976.12	""	Genic
chr1	952986	953006	chr1-523	34.8	-	4.514	4.9921	9.5061	2	Deep intronic	ENSG00000188976.12	""	Genic
chr1	960448	960468	chr1-394	40.6	+	8.0777	10.6973	18.775	2	TSS-proximal	""	""	Genic
chr1	960821	960841	chr1-311	44	+	5.9394	8.0824	14.0219	2	First intron	ENSG00000187961.16	""	Genic
chr1	960905	960925	chr1-263	62.6	+	9.7407	16.1648	25.9055	2	First intron	ENSG00000187961.16	""	Genic
chr1	961032	961052	chr1-863	29	+	4.514	8.5578	13.0718	2	Satellite/LC	ENSG00000187961.16	""	TE
chr1	961152	961172	chr1-695	29	+	2.6134	6.1807	8.794	2	First intron	ENSG00000187961.16	""	Genic
chr1	961580	961600	chr1-696	24.3	+	1.4255	4.9921	6.4175	2	Proximal intronic	ENSG00000187961.16	""	Genic
chr1	962187	962207	chr1-435	33.6	+	5.7019	8.3201	14.022	2	Proximal intronic	ENSG00000187961.16	""	Genic
chr1	962522	962542	chr1-524	38.2	+	4.7516	7.3693	12.1208	2	Proximal intronic	ENSG00000187961.16	""	Genic
chr1	963218	963238	chr1-697	31.3	+	4.9891	5.943	10.9321	2	CDS	ENSG00000187961.16	""	Genic
chr1	963700	963720	chr1-1099	18.5	+	3.3261	2.6149	5.941	2	Proximal intronic	ENSG00000187961.16	""	Genic
chr1	963849	963869	chr1-1267	23.2	+	2.1382	3.8035	5.9417	2	CDS	ENSG00000187961.16	""	Genic
chr1	965431	965451	chr1-963	26.7	+	2.1382	3.8035	5.9417	2	3'UTR	ENSG00000187961.16	""	Genic
chr1	998651	998671	chr1-1969	17.4	-	3.8012	2.1395	5.9407	2	3'UTR-distal	""	""	Genic
chr1	999808	999828	chr1-1268	19.7	-	1.663	4.7544	6.4174	2	CDS	ENSG00000188290.12	""	Genic
chr1	1000189	1000209	chr1-964	23.2	-	1.1879	4.9921	6.18	2	TSS-proximal	""	""	Genic
chr1	1000241	1000261	chr1-1269	17.4	-	3.3261	2.8526	6.1787	2	TSS-proximal	""	""	Genic
chr1	1020271	1020291	chr1-1683	12.7	+	2.6134	3.5658	6.1791	2	3'UTR-distal	ENSG00000188157.16	AGRN	Genic
chr1	1036148	1036168	chr1-699	22	+	2.6134	4.7544	7.3677	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1036258	1036278	chr1-1101	19.7	+	3.3261	3.0903	6.4164	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1036389	1036409	chr1-965	26.7	+	3.5637	4.5166	8.0803	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1036942	1036962	chr1-1102	20.9	+	3.5637	2.6149	6.1786	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1037152	1037172	chr1-700	23.2	+	3.3261	3.8035	7.1296	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1037559	1037579	chr1-1686	19.7	+	2.8509	4.2789	7.1299	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1038026	1038046	chr1-866	22	+	2.3758	3.3281	5.7038	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1038086	1038106	chr1-790	30.1	+	4.2764	3.8035	8.0799	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1038700	1038720	chr1-791	30.1	+	6.8898	5.7052	12.595	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1038849	1038869	chr1-701	39.4	+	12.5916	6.6561	19.2477	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1038922	1038942	chr1-201	63.7	+	12.3541	8.7956	21.1496	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1039235	1039255	chr1-312	59.1	+	11.6413	9.9842	21.6255	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1039582	1039602	chr1-229	42.9	+	5.9394	5.7052	11.6447	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1040029	1040049	chr1-966	42.9	+	6.4146	5.2298	11.6444	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1040142	1040162	chr1-702	31.3	+	5.2267	6.4184	11.6451	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1040329	1040349	chr1-472	32.5	+	9.2655	7.1315	16.3971	2	Deep intronic	ENSG00000188157.16	AGRN	Genic
chr1	1040478	1040498	chr1-629	30.1	+	7.8401	7.8447	15.6848	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1040561	1040581	chr1-436	33.6	+	6.6522	6.4184	13.0706	2	Proximal intronic	ENSG00000188157.16	AGRN	Genic
chr1	1041132	1041152	chr1-525	30.1	+	4.0388	5.4675	9.5063	2	Satellite/LC	ENSG00000188157.16	AGRN	TE
