chr	start	end	name	score	strand	tagNumber(k)	mutationFreq(m)	FDR	count(>=m,k)	annotation	gene	external_gene_name	grouped_annotation
chr21	8393828	8393829	chr21_f_c43[k=167][m=367]	367	+	167	367	0	1	Deep intronic	ENSG00000280441.4	""	Genic
chr2	132255038	132255039	chr2_r_c190[k=179][m=342]	342	-	179	342	0	1	Deep intronic	""	""	Genic
chr11	62855330	62855331	chr11_r_c139[k=1279][m=29]	29	-	1279	29	0	1	First intron	ENSG00000255717.10	SNHG1	Genic
chr11	62855306	62855307	chr11_r_c137[k=2063][m=27]	27	-	2063	27	0	1	First intron	ENSG00000255717.10	SNHG1	Genic
chr17	19188220	19188221	chr17_f_c35[k=33][m=26]	26	+	33	26	0	1	Other exon	ENSG00000263934.5	SNORD3A	Genic
chr17	19062116	19062117	chr17_f_c29[k=25][m=24]	24	+	25	24	0	2	Other exon	ENSG00000265185.6	SNORD3B-1	Genic
chr17	19112429	19112430	chr17_r_c37[k=25][m=24]	24	-	25	24	0	2	Proximal intronic	ENSG00000197665.8	GRAPL-AS1	Genic
chr17	19063929	19063930	chr17_r_c32[k=35][m=24]	24	-	35	24	0	1	Deep intronic	ENSG00000197665.8	GRAPL-AS1	Genic
chr21	8438038	8438039	chr21_f_c77[k=49][m=21]	21	+	49	21	0	1	Deep intronic	ENSG00000280441.4	""	Genic
chr8	66922483	66922484	chr8_r_c55[k=1183][m=21]	21	-	1183	21	0	1	Proximal intronic	ENSG00000245910.10	SNHG6	Genic
chr1	35184209	35184210	chr1_r_c84[k=42][m=19]	19	-	42	19	0	1	3'UTR	ENSG00000116560.12	SFPQ	Genic
chr11	62855581	62855582	chr11_r_c141[k=548][m=19]	19	-	548	19	0	1	First intron	ENSG00000255717.10	SNHG1	Genic
chr11	62855040	62855041	chr11_r_c134[k=425][m=14]	14	-	425	14	0	1	First intron	ENSG00000255717.10	SNHG1	Genic
chr11	65501027	65501028	chr11_f_c102[k=2889][m=14]	14	+	2889	14	0	1	First intron	ENSG00000251562.13	MALAT1	Genic
chr21	8446193	8446194	chr21_f_c110[k=9][m=12]	12	+	9	12	0	1	Deep intronic	ENSG00000280441.4	""	Genic
chr17	19188203	19188204	chr17_f_c32[k=29][m=12]	12	+	29	12	0	1	Other exon	ENSG00000263934.5	SNORD3A	Genic
chr17	19063947	19063948	chr17_r_c35[k=30][m=12]	12	-	30	12	0	1	Deep intronic	ENSG00000197665.8	GRAPL-AS1	Genic
chr22	11251688	11251689	chr22_r_c1[k=63][m=12]	12	-	63	12	0	1	Deep intronic	""	""	Genic
chr15	66501266	66501267	chr15_r_c75[k=198][m=11]	11	-	198	11	0	1	First intron	ENSG00000174444.16	""	Genic
