chr	start	end	name	score	strand	NormedTC_SRR32609679	NormedTC_SRR32609680	NormedTC_SRR32609681	NormedTC_SRR32609682	NormedTC_SRR32609683	NormedTC_SRR37853278	NormedTC_SRR37853279	NormedTC_SRR37853280	NormedTC_HNRNPC_WT	BC_HNRNPC_WT	annotation	gene	external_gene_name	grouped_annotation
chr1	629509	629529	chr1-587	28.9	-	3.6473	0	2.464	2.7469	27.3695	3.2752	0	0	39.5029	5	tRNA*	ENSG00000225880.7	LINC00115	ncRNA
chr1	630725	630745	chr1-22	400.7	+	20.6678	84.0551	71.4558	137.3471	27.3695	0	0	0	340.8954	5	TSS-proximal	""	""	Genic
chr1	630835	630855	chr1-203	93.8	-	6.0788	30.5655	29.5679	24.7225	0	3.2752	0	0	94.2099	5	First intron	ENSG00000225880.7	LINC00115	Genic
chr1	634011	634031	chr1-588	28.9	+	3.6473	0	7.392	10.9878	13.6848	0	0	6.6937	42.4054	5	Other exon	ENSG00000248527.1	MTATP6P1	Genic
chr1	1012563	1012583	chr1-3002	14.4	+	0	3.8207	0	0	13.6848	6.5505	3.1005	0	27.1564	4	LINE	ENSG00000187608.11	""	TE
chr1	1221637	1221657	chr1-3003	14.4	-	0	0	0	0	13.6848	6.5505	3.1005	0	23.3357	3	Alu	ENSG00000078808.21	""	TE
chr1	1278228	1278248	chr1-1820	25.3	-	1.2158	0	0	0	0	3.2752	12.402	6.6937	23.5866	4	Alu	""	""	TE
chr1	1316266	1316286	chr1-1821	21.7	-	2.4315	0	2.464	5.4939	0	3.2752	3.1005	6.6937	23.4588	6	Alu	ENSG00000127054.23	""	TE
chr1	1317783	1317803	chr1-1822	21.7	-	1.2158	3.8207	0	5.4939	13.6848	9.8257	0	0	34.0408	5	LINE	ENSG00000127054.23	""	TE
chr1	1318482	1318502	chr1-793	25.3	-	2.4315	0	4.928	0	0	6.5505	12.402	0	26.3119	4	Alu	ENSG00000127054.23	""	TE
chr1	1390100	1390120	chr1-1166	21.7	-	1.2158	0	0	0	0	0	15.5025	0	16.7182	2	Alu	ENSG00000221978.14	""	TE
chr1	1391239	1391259	chr1-794	28.9	-	2.4315	0	4.928	8.2408	13.6848	3.2752	0	0	32.5603	5	Deep intronic	ENSG00000221978.14	""	Genic
chr1	1391805	1391825	chr1-329	39.7	-	4.863	11.4621	4.928	2.7469	13.6848	3.2752	0	6.6937	47.6537	7	Deep intronic	ENSG00000221978.14	""	Genic
chr1	1392245	1392265	chr1-204	43.3	-	3.6473	3.8207	9.856	0	0	9.8257	3.1005	6.6937	36.9438	6	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1395174	1395194	chr1-1167	18	-	2.4315	3.8207	2.464	0	0	0	3.1005	6.6937	18.5103	5	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1473519	1473539	chr1-205	43.3	+	1.2158	0	4.928	2.7469	0	16.3761	9.3015	6.6937	41.262	6	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1474517	1474537	chr1-429	39.7	+	0	7.6414	7.392	0	13.6848	16.3761	6.201	6.6937	57.9889	6	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1478167	1478187	chr1-71	72.2	+	3.6473	7.6414	4.928	0	0	9.8257	21.7035	26.7747	74.5204	6	3'UTR-distal	ENSG00000160072.21	""	Genic
chr1	1484685	1484705	chr1-1828	18	+	3.6473	3.8207	0	0	0	3.2752	0	6.6937	17.4368	4	Deep intronic	ENSG00000160072.21	""	Genic
chr1	1549198	1549218	chr1-1829	18	-	0	0	0	2.7469	0	3.2752	3.1005	13.3873	22.51	4	First intron	ENSG00000160075.13	""	Genic
chr1	1549659	1549679	chr1-1830	18	-	2.4315	0	0	0	0	0	3.1005	13.3873	18.9193	3	Alu	ENSG00000160075.13	""	TE
chr1	1549998	1550018	chr1-795	25.3	-	0	0	0	0	0	3.2752	12.402	13.3873	29.0645	3	Alu	ENSG00000160075.13	""	TE
chr1	1558370	1558390	chr1-1831	18	-	3.6473	0	0	0	0	3.2752	9.3015	20.081	36.305	4	Alu	ENSG00000160075.13	""	TE
chr1	1563523	1563543	chr1-168	46.9	-	2.4315	11.4621	4.928	2.7469	0	3.2752	6.201	20.081	51.1257	7	3'UTR	ENSG00000160075.13	""	Genic
chr1	1566328	1566348	chr1-3022	14.4	-	0	0	0	0	0	9.8257	0	6.6937	16.5194	2	First intron	ENSG00000160075.13	""	Genic
chr1	1568419	1568439	chr1-796	25.3	-	0	0	0	0	0	6.5505	12.402	6.6937	25.6461	3	Alu	ENSG00000160075.13	""	TE
chr1	1568601	1568621	chr1-797	25.3	-	1.2158	0	2.464	2.7469	0	3.2752	9.3015	6.6937	25.6971	6	Alu	ENSG00000160075.13	""	TE
chr1	1573110	1573130	chr1-798	25.3	-	2.4315	3.8207	0	0	0	6.5505	3.1005	6.6937	22.5968	5	Alu	ENSG00000160075.13	""	TE
chr1	1668977	1668997	chr1-1170	21.7	-	1.2158	0	0	0	0	13.1009	3.1005	0	17.4172	3	Alu	ENSG00000189339.13	""	TE
chr1	1690275	1690295	chr1-1833	18	-	0	0	0	0	0	0	9.3015	13.3873	22.6888	2	Alu	ENSG00000189339.13	""	TE
