chr	start	end	name	score	strand	NormedTC_SRR1107532	NormedTC_SRR1107533	NormedTC_SRR1107534	NormedTC_RBFOX2	BC_RBFOX2	annotation	gene	external_gene_name	grouped_annotation
chr1	9793908	9793928	chr1-102	124.8	-	35.0972	2.8533	20.7863	58.7368	3	3'UTR	ENSMUSG00000045210.9	Vcpip1	Genic
chr1	9794549	9794569	chr1-156	93.6	-	0	8.5598	20.7863	29.3462	2	3'UTR	ENSMUSG00000045210.9	Vcpip1	Genic
chr1	10374344	10374364	chr1-157	78	-	0	0	25.9829	25.9829	1	Satellite/LC	""	""	TE
chr1	12445191	12445211	chr1-59	187.1	+	0	5.7065	51.9659	57.6724	2	Other exon	ENSMUSG00000118923.1	Gm22633	Genic
chr1	13232101	13232121	chr1-293	62.4	-	35.0972	0	5.1966	40.2937	2	Proximal intronic	ENSMUSG00000005886.15	Ncoa2	Genic
chr1	13410264	13410284	chr1-158	46.8	-	11.6991	5.7065	10.3932	27.7988	3	First intron	ENSMUSG00000005886.15	Ncoa2	Genic
chr1	16174830	16174850	chr1-297	62.4	-	11.6991	2.8533	10.3932	24.9455	3	5'UTR	ENSMUSG00000043716.14	Rpl7	Genic
chr1	16434529	16434549	chr1-60	62.4	-	0	5.7065	20.7863	26.4929	2	Deep intronic	ENSMUSG00000025920.20	Stau2	Genic
chr1	20744379	20744399	chr1-61	93.6	+	35.0972	5.7065	5.1966	46.0003	3	LINE	ENSMUSG00000099906.3	Lincmd1	TE
chr1	21006747	21006767	chr1-302	46.8	+	23.3981	2.8533	0	26.2514	2	3'UTR	ENSMUSG00000025931.16	Paqr8	Genic
chr1	21472210	21472230	chr1-25	218.3	-	46.7962	37.0925	83.1454	167.0341	3	3'UTR	ENSMUSG00000028033.17	Kcnq5	Genic
chr1	21528315	21528335	chr1-104	109.2	-	0	14.2664	10.3932	24.6595	2	Deep intronic	ENSMUSG00000028033.17	Kcnq5	Genic
chr1	21811867	21811887	chr1-304	62.4	-	23.3981	5.7065	0	29.1046	2	First intron	ENSMUSG00000028033.17	Kcnq5	Genic
chr1	21995342	21995362	chr1-62	78	-	23.3981	19.9729	5.1966	48.5676	3	First intron	ENSMUSG00000028033.17	Kcnq5	Genic
chr1	22357127	22357147	chr1-18	218.3	-	70.1943	17.1196	72.7522	160.0661	3	3'UTR	ENSMUSG00000041670.20	Rims1	Genic
chr1	22485018	22485038	chr1-161	62.4	-	11.6991	8.5598	5.1966	25.4554	3	Deep intronic	ENSMUSG00000041670.20	Rims1	Genic
chr1	22498502	22498522	chr1-162	78	-	23.3981	5.7065	5.1966	34.3012	3	Proximal intronic	ENSMUSG00000041670.20	Rims1	Genic
chr1	22499029	22499049	chr1-65	109.2	-	23.3981	8.5598	20.7863	52.7443	3	Proximal intronic	ENSMUSG00000041670.20	Rims1	Genic
chr1	22502354	22502374	chr1-66	109.2	-	11.6991	11.4131	10.3932	33.5053	3	Deep intronic	ENSMUSG00000041670.20	Rims1	Genic
chr1	22502417	22502437	chr1-31	124.8	-	23.3981	14.2664	10.3932	48.0576	3	Deep intronic	ENSMUSG00000041670.20	Rims1	Genic
chr1	22588239	22588259	chr1-163	78	-	23.3981	2.8533	10.3932	36.6445	3	LINE	ENSMUSG00000041670.20	Rims1	TE
chr1	22692091	22692111	chr1-68	109.2	-	0	2.8533	31.1795	34.0328	2	LINE	ENSMUSG00000041670.20	Rims1	TE
chr1	22839266	22839286	chr1-105	109.2	-	11.6991	2.8533	31.1795	45.7318	3	First intron	ENSMUSG00000041670.20	Rims1	Genic
chr1	23311099	23311119	chr1-321	46.8	+	23.3981	2.8533	0	26.2514	2	Other exon	ENSMUSG00000134304.1	""	Genic
chr1	24108911	24108931	chr1-107	78	-	11.6991	14.2664	5.1966	31.162	3	Deep intronic	ENSMUSG00000026153.16	Fam135a	Genic
chr1	24802173	24802193	chr1-325	78	+	0	0	25.9829	25.9829	1	3'UTR	ENSMUSG00000073725.9	Lmbrd1	Genic
chr1	25351888	25351908	chr1-166	62.4	-	23.3981	8.5598	0	31.9579	2	Deep intronic	ENSMUSG00000033569.18	Adgrb3	Genic
chr1	25357034	25357054	chr1-69	78	-	35.0972	8.5598	0	43.657	2	Deep intronic	ENSMUSG00000033569.18	Adgrb3	Genic
chr1	25398854	25398874	chr1-167	78	-	11.6991	8.5598	5.1966	25.4554	3	Deep intronic	ENSMUSG00000033569.18	Adgrb3	Genic
chr1	25653800	25653820	chr1-332	46.8	-	23.3981	2.8533	0	26.2514	2	First intron	ENSMUSG00000033569.18	Adgrb3	Genic
chr1	25674247	25674267	chr1-168	109.2	-	23.3981	0	25.9829	49.381	2	First intron	ENSMUSG00000033569.18	Adgrb3	Genic
chr1	25695718	25695738	chr1-334	93.6	-	11.6991	17.1196	0	28.8187	2	Other SINE	ENSMUSG00000033569.18	Adgrb3	TE
chr1	25732378	25732398	chr1-336	62.4	-	11.6991	2.8533	10.3932	24.9455	3	First intron	ENSMUSG00000033569.18	Adgrb3	Genic
chr1	25733202	25733222	chr1-48	155.9	-	0	0	51.9659	51.9659	1	First intron	ENSMUSG00000033569.18	Adgrb3	Genic
chr1	25847154	25847174	chr1-340	78	+	0	0	25.9829	25.9829	1	Deep intronic	""	""	Genic
chr1	25868656	25868676	chr1-342	93.6	-	0	11.4131	15.5898	27.0028	2	5'UTR	ENSMUSG00000033569.18	Adgrb3	Genic
chr1	29748936	29748956	chr1-169	124.8	+	0	0	41.5727	41.5727	1	Satellite/LC	ENSMUSG00000118548.3	Gm53035	TE
chr1	30891751	30891771	chr1-343	46.8	-	23.3981	0	5.1966	28.5947	2	LTR/ERV	ENSMUSG00000048874.16	Phf3	TE
chr1	34852358	34852378	chr1-70	78	-	46.7962	5.7065	0	52.5028	2	3'UTR	ENSMUSG00000037503.13	Fam168b	Genic
chr1	34854783	34854803	chr1-71	155.9	-	11.6991	17.1196	25.9829	54.8016	3	3'UTR	ENSMUSG00000037503.13	Fam168b	Genic
chr1	34856144	34856164	chr1-108	93.6	-	0	0	31.1795	31.1795	1	3'UTR	ENSMUSG00000037503.13	Fam168b	Genic
chr1	34856197	34856217	chr1-49	155.9	-	35.0972	2.8533	41.5727	79.5231	3	3'UTR	ENSMUSG00000037503.13	Fam168b	Genic
chr1	37697145	37697165	chr1-172	62.4	-	23.3981	5.7065	0	29.1046	2	LTR/ERV	ENSMUSG00000026090.17	Cracdl	TE
chr1	38847879	38847899	chr1-72	124.8	-	35.0972	25.6794	0	60.7766	2	Deep intronic	ENSMUSG00000048814.12	Lonrf2	Genic
chr1	46848381	46848401	chr1-111	78	-	23.3981	8.5598	0	31.9579	2	3'UTR	ENSMUSG00000025986.7	Slc39a10	Genic
chr1	51153647	51153667	chr1-178	78	+	46.7962	2.8533	10.3932	60.0427	3	Deep intronic	ENSMUSG00000026109.15	Tmeff2	Genic
chr1	52225569	52225589	chr1-374	62.4	-	11.6991	5.7065	10.3932	27.7988	3	3'UTR	ENSMUSG00000026103.15	Gls	Genic
chr1	55186490	55186510	chr1-113	109.2	+	46.7962	14.2664	0	61.0626	2	Other SINE	ENSMUSG00000025979.14	Mob4	TE
chr1	56821459	56821479	chr1-19	686.2	-	198.8839	119.8373	285.8122	604.5335	3	Intergenic	""	""	Intergenic
