chr	start	end	name	score	strand	signal	coverage	fraction	pvalue	qvalue	annotation	gene	external_gene_name	grouped_annotation
chr1	110368844	110368845	del:chr1:110368844:+	1000	+	21	36	0.5833	6.75e-62	7.536e-58	First intron	ENSG00000224699.13	LAMTOR5-AS1	Genic
chr1	167788928	167788929	del:chr1:167788928:+	1000	+	27	182	0.1484	7.968e-60	4.448e-56	3'UTR	ENSG00000197965.13	""	Genic
chr1	65345678	65345679	del:chr1:65345678:+	1000	+	19	34	0.5588	1.276e-55	4.749e-52	5'UTR	ENSG00000116675.16	DNAJC6	Genic
chr1	167788925	167788926	del:chr1:167788925:+	1000	+	25	173	0.1445	3.326e-55	8.67e-52	3'UTR	ENSG00000197965.13	""	Genic
chr1	167788926	167788927	del:chr1:167788926:+	1000	+	25	174	0.1437	3.883e-55	8.67e-52	3'UTR	ENSG00000197965.13	""	Genic
chr1	167788927	167788928	del:chr1:167788927:+	1000	+	25	178	0.1404	7.141e-55	1.329e-51	3'UTR	ENSG00000197965.13	""	Genic
chr1	29061643	29061644	del:chr1:29061643:+	1000	+	24	153	0.1569	5.572e-54	8.888e-51	Alu	ENSG00000159023.24	""	TE
chr1	180177882	180177883	del:chr1:180177882:+	1000	+	15	15	1	2.225e-51	2.07e-48	Satellite/LC	ENSG00000116260.17	QSOX1	TE
chr1	180177883	180177884	del:chr1:180177883:+	1000	+	15	15	1	2.225e-51	2.07e-48	Satellite/LC	ENSG00000116260.17	QSOX1	TE
chr1	180177884	180177885	del:chr1:180177884:+	1000	+	15	15	1	2.225e-51	2.07e-48	Satellite/LC	ENSG00000116260.17	QSOX1	TE
chr1	180177885	180177886	del:chr1:180177885:+	1000	+	15	15	1	2.225e-51	2.07e-48	Satellite/LC	ENSG00000116260.17	QSOX1	TE
chr1	180177886	180177887	del:chr1:180177886:+	1000	+	15	15	1	2.225e-51	2.07e-48	Satellite/LC	ENSG00000116260.17	QSOX1	TE
chr1	167788924	167788925	del:chr1:167788924:+	1000	+	23	170	0.1353	3.294e-50	2.829e-47	3'UTR	ENSG00000197965.13	""	Genic
chr1	66957631	66957632	del:chr1:66957631:+	1000	+	14	15	0.9333	7.944e-47	6.336e-44	Deep intronic	ENSG00000198160.15	MIER1	Genic
chr1	29061642	29061643	del:chr1:29061642:+	1000	+	21	173	0.1214	6.325e-45	4.708e-42	Alu	ENSG00000159023.24	""	TE
chr1	46312468	46312469	del:chr1:46312468:+	1000	+	20	141	0.1418	2.667e-44	1.841e-41	Alu	ENSG00000173660.13	""	TE
chr1	167788929	167788930	del:chr1:167788929:+	1000	+	21	185	0.1135	2.803e-44	1.841e-41	3'UTR	ENSG00000197965.13	""	Genic
chr1	29061646	29061647	del:chr1:29061646:+	1000	+	20	161	0.1242	4.512e-43	2.799e-40	Alu	ENSG00000159023.24	""	TE
chr1	167788923	167788924	del:chr1:167788923:+	1000	+	20	168	0.119	1.112e-42	6.534e-40	3'UTR	ENSG00000197965.13	""	Genic
chr1	110364570	110364571	del:chr1:110364570:+	1000	+	18	101	0.1782	5.947e-42	3.32e-39	Alu	ENSG00000224699.13	LAMTOR5-AS1	TE
