chr	start	end	name	score	strand	NormedTC_SRR26536504	NormedTC_SRR26536505	NormedTC_SRR26536514	NormedTC_SRR26536520	NormedTC_SRR26536526	NormedTC_SRR26536532	NormedTC_SRR26536538	NormedTC_SRR26536544	NormedTC_HuR_WT	BC_HuR_WT	annotation	gene	external_gene_name	grouped_annotation
chr1	629925	629945	chr1-1377	30.2	+	0	0	1.0195	3.9844	8.762	1.6899	0	0	15.4558	4	Other exon	ENSG00000225630.1	MTND2P28	Genic
chr1	630726	630746	chr1-59	648.9	+	0	72.1428	24.4674	59.7655	48.1912	177.4428	33.3378	0	415.3473	6	TSS-proximal	""	""	Genic
chr1	944243	944263	chr1-553	49	-	0	0	4.0779	11.9531	2.1905	5.0698	0	0	23.2913	4	3'UTR	ENSG00000188976.12	""	Genic
chr1	944538	944558	chr1-661	41.5	-	0	0	8.1558	3.9844	2.1905	0	0	0	14.3307	3	3'UTR	ENSG00000188976.12	""	Genic
chr1	965336	965356	chr1-2561	22.6	+	0	0	2.0389	5.9765	4.381	0	0	0	12.3965	3	3'UTR	ENSG00000187961.16	""	Genic
chr1	1106277	1106297	chr1-3820	15.1	-	0	14.4286	1.0195	0	0	3.3799	0	0	18.8279	3	LINE	ENSG00000131591.19	""	TE
chr1	1261558	1261578	chr1-1053	30.2	-	0	28.8571	3.0584	3.9844	0	5.0698	0	0	40.9697	4	Deep intronic	ENSG00000160087.22	""	Genic
chr1	1318704	1318724	chr1-662	34	-	0	0	5.0974	1.9922	8.762	0	0	0	15.8516	3	3'UTR	ENSG00000127054.23	""	Genic
chr1	1391060	1391080	chr1-663	37.7	-	0	28.8571	4.0779	7.9687	4.381	11.8295	0	0	57.1143	5	Proximal intronic	ENSG00000221978.14	""	Genic
chr1	1391221	1391241	chr1-554	60.4	-	0	0	12.2337	1.9922	6.5715	1.6899	0	0	22.4873	4	Deep intronic	ENSG00000221978.14	""	Genic
chr1	1392234	1392254	chr1-162	86.8	-	0	0	13.2531	21.914	17.5241	3.3799	0	0	56.0711	4	3'UTR-distal	ENSG00000221978.14	""	Genic
chr1	1401993	1402013	chr1-664	37.7	-	0	0	5.0974	1.9922	8.762	0	0	0	15.8516	3	3'UTR	ENSG00000242485.7	""	Genic
chr1	1563522	1563542	chr1-3824	15.1	-	196.6568	14.4286	1.0195	1.9922	0	0	0	0	214.097	4	3'UTR	ENSG00000160075.13	""	Genic
chr1	1564039	1564059	chr1-1378	26.4	-	0	0	5.0974	5.9765	4.381	0	0	0	15.4549	3	3'UTR	ENSG00000160075.13	""	Genic
chr1	1731556	1731576	chr1-1379	26.4	-	0	14.4286	4.0779	0	4.381	0	0	0	22.8875	3	Satellite/LC	ENSG00000268575.1	""	TE
chr1	1761560	1761580	chr1-2562	18.9	-	0	0	2.0389	1.9922	4.381	0	0	0	8.4121	3	Deep intronic	ENSG00000008130.16	""	Genic
chr1	1785363	1785383	chr1-1832	18.9	-	0	0	6.1168	0	2.1905	0	0	0	8.3073	2	3'UTR	ENSG00000078369.20	""	Genic
chr1	1786449	1786469	chr1-2563	26.4	-	0	0	3.0584	1.9922	6.5715	0	0	0	11.6221	3	3'UTR	ENSG00000078369.20	""	Genic
chr1	1786787	1786807	chr1-1833	22.6	-	0	0	1.0195	0	2.1905	6.7597	0	0	9.9697	3	3'UTR	ENSG00000078369.20	""	Genic
chr1	1806138	1806158	chr1-1834	26.4	-	0	0	4.0779	0	4.381	1.6899	0	0	10.1488	3	Deep intronic	ENSG00000078369.20	""	Genic
chr1	1827949	1827969	chr1-3828	26.4	-	0	0	3.0584	1.9922	6.5715	0	0	0	11.6221	3	First intron	ENSG00000078369.20	""	Genic
chr1	1839400	1839420	chr1-2564	18.9	-	0	0	1.0195	1.9922	6.5715	0	0	0	9.5832	3	5'UTR	ENSG00000078369.20	""	Genic
chr1	1883478	1883498	chr1-1835	22.6	-	0	0	3.0584	3.9844	0	1.6899	0	0	8.7327	3	First intron	ENSG00000078369.20	""	Genic
chr1	1888008	1888028	chr1-3837	18.9	-	0	14.4286	0	1.9922	4.381	1.6899	0	0	22.4917	4	First intron	ENSG00000078369.20	""	Genic
chr1	1889038	1889058	chr1-1380	30.2	-	0	0	3.0584	5.9765	4.381	0	0	0	13.416	3	First intron	ENSG00000078369.20	""	Genic
chr1	1889216	1889236	chr1-1836	22.6	-	0	0	1.0195	5.9765	4.381	0	0	0	11.377	3	First intron	ENSG00000078369.20	""	Genic
chr1	2254507	2254527	chr1-1837	22.6	+	0	0	2.0389	1.9922	2.1905	3.3799	0	0	9.6015	4	First intron	ENSG00000157933.12	""	Genic
chr1	2307722	2307742	chr1-1381	22.6	+	0	0	3.0584	3.9844	6.5715	1.6899	0	0	15.3042	4	3'UTR	ENSG00000157933.12	""	Genic
chr1	2308622	2308642	chr1-665	45.3	+	0	0	6.1168	5.9765	6.5715	3.3799	0	0	22.0448	4	3'UTR	ENSG00000157933.12	""	Genic
chr1	6224470	6224490	chr1-1838	18.9	-	0	0	3.0584	3.9844	2.1905	0	0	0	9.2333	3	3'UTR	ENSG00000116237.17	""	Genic
