chr	start	end	name	score	strand	tagNumber(k)	mutationFreq(m)	FDR	count(>=m,k)	annotation	gene	external_gene_name	grouped_annotation
chr10	36567926	36567927	chr10_f_c17[k=1][m=4]	4	+	1	4	0	2	Alu	""	""	TE
chr10	44276747	44276748	chr10_r_c15[k=1][m=4]	4	-	1	4	0	2	LINE	""	""	TE
chr1	159235578	159235579	chr1_f_c79[k=1][m=4]	4	+	1	4	0	4	LINE	""	""	TE
chr1	19897989	19897990	chr1_f_c5[k=1][m=4]	4	+	1	4	0	4	Alu	ENSG00000169914.7	""	TE
chr12	56511713	56511714	chr12_f_c38[k=1][m=4]	4	+	1	4	0	1	Other exon	ENSG00000257576.1	HSPD1P4	Genic
chr1	78208267	78208268	chr1_r_c50[k=1][m=4]	4	-	1	4	0	4	LINE	""	""	TE
chr19	10959900	10959901	chr19_f_c8[k=1][m=4]	4	+	1	4	0	1	Alu	""	""	TE
chr1	99200777	99200778	chr1_f_c54[k=1][m=4]	4	+	1	4	0	4	LINE	ENSG00000232825.4	PLPPR5-AS1	TE
chr20	21122573	21122574	chr20_r_c5[k=1][m=4]	4	-	1	4	0	2	Alu	""	""	TE
chr20	41090691	41090692	chr20_f_c22[k=1][m=4]	4	+	1	4	0	2	Alu	ENSG00000198900.7	TOP1	TE
chr2	113457596	113457597	chr2_f_c44[k=1][m=4]	4	+	1	4	0	3	Deep intronic	ENSG00000136682.17	""	Genic
chr21	35652102	35652103	chr21_r_c13[k=1][m=4]	4	-	1	4	0	2	Alu	""	""	TE
chr2	197493478	197493479	chr2_r_c84[k=1][m=4]	4	-	1	4	0	3	CDS	ENSG00000144381.19	""	Genic
chr21	9891141	9891142	chr21_r_c3[k=1][m=4]	4	-	1	4	0	2	Intergenic	""	""	Intergenic
chr2	224615007	224615008	chr2_f_c100[k=1][m=4]	4	+	1	4	0	3	Alu	ENSG00000309216.1	""	TE
chr4	144846339	144846340	chr4_f_c45[k=1][m=4]	4	+	1	4	0	5	Other exon	ENSG00000249193.1	HSPD1P5	Genic
chr4	33004939	33004940	chr4_r_c15[k=1][m=4]	4	-	1	4	0	5	LINE	ENSG00000307412.1	""	TE
chr4	37972876	37972877	chr4_r_c16[k=1][m=4]	4	-	1	4	0	5	Alu	""	""	TE
chr4	73321108	73321109	chr4_r_c31[k=1][m=4]	4	-	1	4	0	5	Alu	""	""	TE
chr4	83194720	83194721	chr4_r_c35[k=1][m=4]	4	-	1	4	0	5	LTR/ERV	""	""	TE
chr5	21883302	21883303	chr5_f_c12[k=1][m=4]	4	+	1	4	0	1	Other exon	ENSG00000213430.6	HSPD1P1	Genic
chr6	30974270	30974271	chr6_r_c12[k=1][m=4]	4	-	1	4	0	1	Alu	""	""	TE
chr7	102420081	102420082	chr7_f_c49[k=1][m=4]	4	+	1	4	0	2	Alu	ENSG00000128563.14	""	TE
chr7	66175326	66175327	chr7_r_c24[k=1][m=4]	4	-	1	4	0	2	Alu	""	""	TE
chr9	136795485	136795486	chr9_f_c69[k=1][m=4]	4	+	1	4	0	9	3'UTR-distal	ENSG00000272896.1	""	Genic
chr9	159605	159606	chr9_r_c1[k=1][m=4]	4	-	1	4	0	9	First intron	ENSG00000172785.20	""	Genic
chr9	41590354	41590355	chr9_f_c17[k=1][m=4]	4	+	1	4	0	9	Intergenic	""	""	Intergenic
chr9	61800595	61800596	chr9_f_c19[k=1][m=4]	4	+	1	4	0	9	Intergenic	""	""	Intergenic
chr9	63999704	63999705	chr9_r_c29[k=1][m=4]	4	-	1	4	0	9	Deep intronic	ENSG00000204790.9	""	Genic
chr9	65695436	65695437	chr9_f_c22[k=1][m=4]	4	+	1	4	0	9	Deep intronic	ENSG00000147996.18	""	Genic
chr9	67780322	67780323	chr9_r_c30[k=1][m=4]	4	-	1	4	0	9	Intergenic	""	""	Intergenic
chr9	88017105	88017106	chr9_r_c37[k=1][m=4]	4	-	1	4	0	9	Alu	""	""	TE
chr9	88934296	88934297	chr9_f_c30[k=1][m=4]	4	+	1	4	0	9	LTR/ERV	""	""	TE
chr1	121229282	121229283	chr1_f_c65[k=2][m=4]	4	+	2	4	0	4	First intron	ENSG00000171943.13	""	Genic
chr1	144016885	144016886	chr1_f_c70[k=2][m=4]	4	+	2	4	0	4	First intron	ENSG00000270872.2	SRGAP2D	Genic
chr1	145051064	145051065	chr1_r_c71[k=2][m=4]	4	-	2	4	0	4	First intron	ENSG00000196369.13	""	Genic
chr11	661684	661685	chr11_r_c0[k=2][m=4]	4	-	2	4	0	1	Alu	ENSG00000177030.20	""	TE
chr1	206247839	206247840	chr1_f_c103[k=2][m=4]	4	+	2	4	0	4	First intron	ENSG00000266028.9	""	Genic
