chr	start	end	name	score	strand	annotation	gene	external_gene_name	grouped_annotation	pval
chr10	3120971	3120972	CITS_1[gene=chr10_f_c130][PH=3][PH0=0.00][P=4.43e-05]	3	+	Deep intronic	ENSG00000067057.20	""	Genic	4.43e-05
chr10	14912230	14912231	CITS_2[gene=chr10_f_c813][PH=3][PH0=0.00][P=1.88e-06]	3	+	3'UTR-distal	""	""	Genic	1.88e-06
chr10	21481773	21481774	CITS_4[gene=chr10_f_c1264][PH=2][PH0=0.00][P=6.41e-04]	2	+	Other exon	ENSG00000199222.1	Y_RNA	Genic	0.000641
chr10	29814639	29814640	CITS_5[gene=chr10_f_c1791][PH=2][PH0=0.00][P=2.77e-04]	2	+	Alu	ENSG00000303513.1	""	TE	0.000277
chr10	70426771	70426772	CITS_8[gene=chr10_f_c3613][PH=4][PH0=0.07][P=4.35e-04]	4	+	3'UTR	ENSG00000148730.8	""	Genic	0.000435
chr10	75752227	75752228	CITS_9[gene=chr10_f_c4432][PH=3][PH0=0.00][P=1.01e-06]	3	+	Alu	ENSG00000148655.16	LRMDA	TE	1.01e-06
chr10	87455664	87455665	CITS_10[gene=chr10_f_c5013][PH=4][PH0=0.08][P=2.72e-04]	4	+	First intron	ENSG00000305816.1	""	Genic	0.000272
chr10	92654563	92654564	CITS_11[gene=chr10_f_c5735][PH=3][PH0=0.00][P=1.06e-05]	3	+	3'UTR	ENSG00000138160.8	""	Genic	1.06e-05
chr10	6634691	6634692	CITS_13[gene=chr10_r_c408][PH=3][PH0=0.00][P=6.88e-10]	3	-	LTR/ERV	""	""	TE	6.88e-10
chr10	34391467	34391468	CITS_14[gene=chr10_r_c2339][PH=4][PH0=0.00][P=8.29e-10]	4	-	Deep intronic	ENSG00000148498.18	""	Genic	8.29e-10
chr10	43386346	43386347	CITS_15[gene=chr10_r_c2788][PH=3][PH0=0.00][P=5.90e-06]	3	-	3'UTR	ENSG00000169813.18	""	Genic	5.9e-06
chr10	68522983	68522984	CITS_18[gene=chr10_r_c4572][PH=3][PH0=0.00][P=3.13e-06]	3	-	Alu	ENSG00000122912.16	""	TE	3.13e-06
chr10	69595221	69595222	CITS_19[gene=chr10_r_c4588][PH=2][PH0=0.00][P=5.36e-05]	2	-	Alu	""	""	TE	5.36e-05
chr10	78786852	78786853	CITS_20[gene=chr10_r_c5278][PH=2][PH0=0.00][P=4.67e-05]	2	-	Alu	""	""	TE	4.67e-05
chr10	79760145	79760146	CITS_21[gene=chr10_r_c5393][PH=4][PH0=0.08][P=2.72e-04]	4	-	First intron	ENSG00000225484.8	NUTM2B-AS1	Genic	0.000272
chr10	87282308	87282309	CITS_22[gene=chr10_r_c5696][PH=4][PH0=0.08][P=2.72e-04]	4	-	Deep intronic	ENSG00000223482.11	NUTM2A-AS1	Genic	0.000272
chr10	92453026	92453027	CITS_23[gene=chr10_r_c5933][PH=3][PH0=0.00][P=4.39e-06]	3	-	3'UTR	ENSG00000119912.19	""	Genic	4.39e-06
chr10	101364933	101364934	CITS_24[gene=chr10_r_c6778][PH=3][PH0=0.00][P=2.33e-08]	3	-	Other exon	ENSG00000222414.1	RNU2-59P	Genic	2.33e-08
chr11	65424776	65424777	CITS_10[gene=chr11_f_c4771][PH=5][PH0=0.01][P=3.71e-06]	5	+	Other exon	ENSG00000245532.13	NEAT1	Genic	3.71e-06
chr11	65425539	65425540	CITS_11[gene=chr11_f_c4771][PH=6][PH0=0.01][P=8.73e-09]	6	+	Other exon	ENSG00000245532.13	NEAT1	Genic	8.73e-09
chr11	65425763	65425764	CITS_12[gene=chr11_f_c4771][PH=7][PH0=0.01][P=1.00e-100]	7	+	First intron	ENSG00000245532.13	NEAT1	Genic	1e-100
chr11	65425955	65425956	CITS_13[gene=chr11_f_c4771][PH=6][PH0=0.01][P=8.73e-09]	6	+	First intron	ENSG00000245532.13	NEAT1	Genic	8.73e-09
chr11	65426202	65426203	CITS_14[gene=chr11_f_c4771][PH=6][PH0=0.01][P=8.73e-09]	6	+	Other exon	ENSG00000245532.13	NEAT1	Genic	8.73e-09
chr11	65429124	65429125	CITS_16[gene=chr11_f_c4771][PH=5][PH0=0.01][P=3.71e-06]	5	+	LINE	ENSG00000245532.13	NEAT1	TE	3.71e-06
chr11	65437355	65437356	CITS_22[gene=chr11_f_c4771][PH=6][PH0=0.01][P=8.73e-09]	6	+	Other exon	ENSG00000245532.13	NEAT1	Genic	8.73e-09
chr11	65438774	65438775	CITS_28[gene=chr11_f_c4771][PH=10][PH0=0.01][P=1.00e-100]	10	+	LINE	ENSG00000245532.13	NEAT1	TE	1e-100
chr11	65438944	65438945	CITS_30[gene=chr11_f_c4771][PH=9][PH0=0.01][P=1.00e-100]	9	+	LINE	ENSG00000245532.13	NEAT1	TE	1e-100
chr11	65439217	65439218	CITS_31[gene=chr11_f_c4771][PH=6][PH0=0.01][P=8.73e-09]	6	+	LINE	ENSG00000245532.13	NEAT1	TE	8.73e-09
chr11	65440183	65440184	CITS_33[gene=chr11_f_c4771][PH=8][PH0=0.01][P=1.00e-100]	8	+	LINE	ENSG00000245532.13	NEAT1	TE	1e-100
chr11	65443113	65443114	CITS_37[gene=chr11_f_c4771][PH=5][PH0=0.01][P=3.71e-06]	5	+	Other exon	ENSG00000245532.13	NEAT1	Genic	3.71e-06
chr11	65443232	65443233	CITS_38[gene=chr11_f_c4771][PH=5][PH0=0.01][P=3.71e-06]	5	+	Other exon	ENSG00000245532.13	NEAT1	Genic	3.71e-06
chr11	65443437	65443438	CITS_39[gene=chr11_f_c4771][PH=5][PH0=0.01][P=3.71e-06]	5	+	Other exon	ENSG00000245532.13	NEAT1	Genic	3.71e-06
chr11	65499202	65499203	CITS_41[gene=chr11_f_c4771][PH=8][PH0=0.01][P=1.00e-100]	8	+	First intron	ENSG00000251562.13	MALAT1	Genic	1e-100
chr11	65500955	65500956	CITS_45[gene=chr11_f_c4771][PH=7][PH0=0.01][P=1.00e-100]	7	+	First intron	ENSG00000251562.13	MALAT1	Genic	1e-100
chr11	65501016	65501017	CITS_46[gene=chr11_f_c4771][PH=10][PH0=0.01][P=1.00e-100]	10	+	First intron	ENSG00000251562.13	MALAT1	Genic	1e-100
chr11	65501126	65501127	CITS_47[gene=chr11_f_c4771][PH=7][PH0=0.01][P=1.00e-100]	7	+	First intron	ENSG00000251562.13	MALAT1	Genic	1e-100
chr11	65501257	65501258	CITS_48[gene=chr11_f_c4771][PH=11][PH0=0.01][P=1.00e-100]	11	+	First intron	ENSG00000251562.13	MALAT1	Genic	1e-100
chr11	65501448	65501449	CITS_50[gene=chr11_f_c4771][PH=11][PH0=0.01][P=1.00e-100]	11	+	First intron	ENSG00000251562.13	MALAT1	Genic	1e-100
chr11	65501508	65501509	CITS_51[gene=chr11_f_c4771][PH=10][PH0=0.01][P=1.00e-100]	10	+	First intron	ENSG00000251562.13	MALAT1	Genic	1e-100
chr11	65501571	65501572	CITS_52[gene=chr11_f_c4771][PH=11][PH0=0.01][P=1.00e-100]	11	+	First intron	ENSG00000251562.13	MALAT1	Genic	1e-100
chr11	65501679	65501680	CITS_53[gene=chr11_f_c4771][PH=6][PH0=0.01][P=8.73e-09]	6	+	First intron	ENSG00000251562.13	MALAT1	Genic	8.73e-09
